trading_day,bias_overnight,bias_gap,bias_dayhist,y,on_range,gap,rth_range
2020-09-25,0,0,1,1,162.75,17.25,339.0
2020-09-28,1,1,1,0,230.0,208.0,134.75
2020-09-29,0,0,0,0,115.0,14.0,96.75
2020-09-30,1,0,0,1,259.25,10.25,215.0
2020-10-01,1,1,0,0,224.5,153.25,124.75
2020-10-02,1,1,0,1,324.25,256.0,263.75
2020-10-05,0,0,0,0,97.75,81.25,175.5
2020-10-06,0,0,0,1,88.25,42.5,285.75
2020-10-07,0,0,0,0,186.75,110.0,145.0
2020-10-08,0,0,0,0,108.25,92.0,89.25
2020-10-09,0,0,0,0,63.75,66.0,126.25
2020-10-12,1,1,0,1,264.25,201.0,330.0
2020-10-13,1,0,1,0,227.0,76.25,163.5
2020-10-14,0,0,0,1,114.25,36.75,251.25
2020-10-15,1,1,0,0,246.75,201.75,171.25
2020-10-16,0,0,0,1,149.75,71.0,208.25
2020-10-19,0,0,0,1,134.0,83.25,358.75
2020-10-20,0,0,1,0,107.0,37.25,193.25
2020-10-21,0,0,0,0,162.5,6.25,149.0
2020-10-22,0,0,0,1,110.5,34.25,212.75
2020-10-23,0,0,0,0,89.5,23.75,130.25
2020-10-26,0,0,0,1,107.5,103.75,352.5
2020-10-27,0,0,1,0,89.75,39.75,136.75
2020-10-28,0,1,0,1,184.5,185.25,299.0
2020-10-29,0,0,0,1,151.0,52.5,287.5
2020-10-30,0,0,0,1,219.25,78.75,337.0
2020-11-02,0,0,1,1,167.25,85.5,269.75
2020-11-03,0,0,0,1,117.75,74.75,246.0
2020-11-04,1,1,0,1,538.25,371.0,283.0
2020-11-05,1,1,0,0,347.25,270.0,139.25
2020-11-06,0,0,0,1,219.5,31.25,225.75
2020-11-09,1,0,0,1,469.0,110.75,448.0
2020-11-10,1,0,1,1,348.0,133.5,246.5
2020-11-11,0,0,0,0,210.0,99.5,196.75
2020-11-12,0,0,0,0,184.0,37.75,199.25
2020-11-13,0,0,0,0,132.0,65.5,151.0
2020-11-16,0,0,0,0,212.0,18.0,146.0
2020-11-17,0,0,0,0,101.5,14.0,88.25
2020-11-18,0,0,0,0,105.75,18.0,137.5
2020-11-19,0,0,0,0,97.75,22.25,158.5
2020-11-20,0,0,0,0,98.0,2.5,113.25
2020-11-23,0,0,0,0,94.75,41.5,193.5
2020-11-24,0,0,0,1,65.75,45.0,222.0
2020-11-25,0,0,0,0,94.75,37.25,96.25
2020-11-26,0,0,0,0,56.25,45.5,88.5
2020-11-27,0,0,0,0,107.25,70.75,93.25
2020-11-30,0,0,0,1,143.75,3.75,214.0
2020-12-01,0,0,0,0,89.75,102.25,178.5
2020-12-02,0,0,0,0,101.5,60.25,157.75
2020-12-03,0,0,0,0,41.0,7.25,96.75
2020-12-04,0,0,0,0,48.5,2.5,84.25
2020-12-07,0,0,0,0,94.0,3.5,86.25
2020-12-08,0,0,0,0,72.0,20.5,149.75
2020-12-09,0,0,0,1,59.25,5.75,334.75
2020-12-10,0,0,1,1,138.75,90.5,231.0
2020-12-11,0,0,0,0,151.5,68.25,144.5
2020-12-14,0,0,0,0,66.25,45.25,130.25
2020-12-15,0,1,0,0,146.0,111.25,126.0
2020-12-16,0,0,0,0,68.75,20.25,133.5
2020-12-17,0,0,0,0,77.75,64.5,79.0
2020-12-18,0,0,0,1,82.25,24.25,178.0
2020-12-21,1,1,0,1,320.5,121.5,242.0
2020-12-22,0,0,0,0,120.25,34.25,160.25
2020-12-23,0,0,0,0,109.75,0.25,88.25
2020-12-24,0,0,0,0,46.5,10.0,68.0
2020-12-28,0,1,0,0,175.5,111.25,114.75
2020-12-29,0,0,0,0,58.75,58.25,110.5
2020-12-30,0,0,0,0,77.25,50.0,89.25
2020-12-31,0,0,0,0,30.25,1.75,99.25
2021-01-04,0,0,0,1,135.75,63.75,419.25
2021-01-05,0,0,1,0,116.0,37.75,151.5
2021-01-06,1,1,0,1,353.25,193.5,244.25
2021-01-07,0,1,0,1,116.0,109.25,232.25
2021-01-08,0,0,0,1,103.75,93.0,176.75
2021-01-11,0,1,0,0,153.0,127.0,141.0
2021-01-12,0,0,0,1,92.75,6.5,180.5
2021-01-13,0,0,0,0,114.5,7.0,139.0
2021-01-14,0,0,0,0,94.25,17.75,148.0
2021-01-15,0,0,0,1,98.5,7.75,187.5
2021-01-18,0,0,0,0,89.75,1.0,31.0
2021-01-19,0,0,0,1,139.0,84.25,157.0
2021-01-20,0,1,0,1,120.5,152.0,206.25
2021-01-21,0,0,0,0,105.25,53.75,140.75
2021-01-22,0,0,0,0,100.5,49.5,72.75
2021-01-25,0,1,0,1,142.5,142.25,366.0
2021-01-26,0,0,1,0,116.25,19.25,106.5
2021-01-27,1,0,0,1,234.75,95.25,368.75
2021-01-28,1,0,1,1,283.0,34.75,265.75
2021-01-29,1,0,1,1,254.25,74.75,327.0
2021-02-01,1,1,1,1,357.25,137.25,301.5
2021-02-02,0,1,1,0,148.5,121.75,148.5
2021-02-03,0,0,0,1,108.25,82.75,161.0
2021-02-04,0,0,0,1,117.5,60.25,160.5
2021-02-05,0,0,0,0,90.5,40.25,119.25
2021-02-08,0,0,0,0,82.25,70.0,96.5
2021-02-09,0,0,0,0,64.0,39.5,90.25
2021-02-10,0,0,0,1,90.25,62.25,244.75
2021-02-11,0,0,1,0,111.5,66.75,119.5
2021-02-12,0,0,0,1,79.25,32.75,164.25
2021-02-15,0,0,0,0,47.75,47.25,31.0
2021-02-16,0,0,0,1,69.5,35.5,159.75
2021-02-17,1,1,0,1,159.0,126.5,167.75
2021-02-18,1,1,0,1,198.75,155.75,201.0
2021-02-19,1,0,0,1,178.5,58.0,166.5
2021-02-22,1,1,0,1,265.0,186.75,228.0
2021-02-23,1,1,1,1,389.0,225.75,499.5
2021-02-24,1,1,1,1,268.0,113.75,350.5
2021-02-25,1,1,1,1,208.25,113.5,526.0
2021-02-26,1,1,1,1,318.0,125.75,338.25
2021-03-01,1,1,1,1,186.0,204.75,246.5
2021-03-02,0,0,1,1,166.0,23.0,255.25
2021-03-03,1,0,1,1,226.75,45.25,376.25
2021-03-04,0,0,1,1,198.0,16.0,490.75
2021-03-05,1,0,1,1,327.0,111.5,490.25
2021-03-08,1,0,1,1,385.0,26.0,432.0
2021-03-09,1,1,1,1,291.75,308.25,280.25
2021-03-10,1,1,0,1,288.75,181.0,259.25
2021-03-11,1,1,0,1,292.75,199.0,207.0
2021-03-12,1,1,0,1,310.0,176.0,177.5
2021-03-15,0,0,0,1,136.5,13.25,202.25
2021-03-16,0,0,0,1,120.25,81.75,210.25
2021-03-17,0,1,0,1,206.25,132.5,336.75
2021-03-18,1,1,1,1,322.0,214.0,260.0
2021-03-19,0,0,0,1,185.25,6.25,209.5
2021-03-22,0,0,0,1,174.0,91.75,229.25
2021-03-23,0,0,0,0,118.25,42.75,193.25
2021-03-24,0,0,0,1,128.75,65.5,284.75
2021-03-25,0,0,0,1,166.75,73.5,227.25
2021-03-26,0,0,0,1,204.75,8.75,274.75
2021-03-29,0,0,0,0,179.25,20.75,186.5
2021-03-30,0,0,0,0,148.25,82.5,139.5
2021-03-31,0,0,0,0,122.0,72.75,205.25
2021-04-01,0,1,0,0,170.75,168.25,80.0
2021-04-05,0,0,0,1,128.75,105.5,205.5
2021-04-06,0,0,0,0,98.0,14.0,115.5
2021-04-07,0,0,0,0,78.25,19.25,128.25
2021-04-08,0,0,0,0,129.75,122.25,63.5
2021-04-09,0,0,0,0,192.5,60.25,181.25
2021-04-12,0,0,0,0,63.75,44.75,97.0
2021-04-13,0,0,0,0,123.0,65.5,127.25
2021-04-14,0,0,0,1,70.75,8.0,215.75
2021-04-15,0,0,0,0,155.5,120.5,111.0
2021-04-16,0,0,0,0,106.0,22.75,87.5
2021-04-19,0,0,0,0,106.5,65.75,192.25
2021-04-20,0,0,0,1,119.75,30.25,210.75
2021-04-21,0,0,0,1,78.25,52.25,226.5
2021-04-22,0,0,0,1,59.5,17.75,242.25
2021-04-23,0,0,0,0,52.75,25.75,205.5
2021-04-26,0,0,0,0,78.75,8.75,124.0
2021-04-27,0,0,0,0,42.5,11.0,122.0
2021-04-28,0,0,0,0,74.75,11.75,104.0
2021-04-29,0,1,0,1,111.5,146.25,242.75
2021-04-30,0,0,0,0,132.5,102.25,131.75
2021-05-03,0,0,0,0,71.0,54.25,176.0
2021-05-04,0,0,0,1,141.5,107.75,315.75
2021-05-05,0,0,1,0,145.5,85.25,203.0
2021-05-06,0,0,0,1,119.25,9.25,213.75
2021-05-07,1,0,0,0,229.75,118.0,148.75
2021-05-10,0,0,0,1,113.75,56.5,305.5
2021-05-11,1,1,1,1,279.0,242.5,292.0
2021-05-12,1,1,1,1,262.0,211.0,271.5
2021-05-13,0,0,0,1,220.5,123.0,228.25
2021-05-14,0,0,0,1,189.5,133.5,217.75
2021-05-17,0,0,0,0,151.25,71.0,160.5
2021-05-18,0,0,0,0,142.75,39.75,192.75
2021-05-19,1,1,0,1,269.0,228.25,273.25
2021-05-20,0,0,0,1,146.5,61.25,242.5
2021-05-21,0,0,0,0,76.5,65.0,174.25
2021-05-24,0,0,0,0,164.75,100.0,193.25
2021-05-25,0,0,0,0,106.5,63.25,125.75
2021-05-26,0,0,0,0,64.75,29.5,69.0
2021-05-27,0,0,0,0,96.75,16.25,77.0
2021-05-28,0,0,0,0,63.5,51.25,80.75
2021-05-31,0,0,0,0,64.75,12.75,28.75
2021-06-01,0,0,0,0,102.0,98.0,180.25
2021-06-02,0,0,0,0,60.25,16.25,109.5
2021-06-03,1,0,0,0,196.75,118.75,147.5
2021-06-04,0,0,0,0,150.25,82.0,178.5
2021-06-07,0,0,0,0,95.25,27.75,95.5
2021-06-08,0,0,0,0,111.75,77.0,174.75
2021-06-09,0,0,0,0,73.25,62.25,97.5
2021-06-10,0,0,0,0,125.25,15.0,153.75
2021-06-11,0,0,0,0,51.0,0.25,65.5
2021-06-14,0,0,0,0,56.75,20.25,166.0
2021-06-15,0,0,0,0,58.0,20.75,121.5
2021-06-16,0,0,0,1,36.75,23.25,265.5
2021-06-17,0,0,1,1,98.75,41.0,267.25
2021-06-18,0,0,1,0,154.5,75.75,122.0
2021-06-21,0,0,0,1,143.0,9.75,185.25
2021-06-22,0,0,0,0,112.0,8.25,172.0
2021-06-23,0,0,0,0,74.25,0.25,85.0
2021-06-24,0,0,0,0,89.75,86.5,94.5
2021-06-25,0,0,0,0,62.0,25.75,77.5
2021-06-28,0,0,0,0,63.25,54.5,128.5
2021-06-29,0,0,0,0,44.75,5.5,96.75
2021-06-30,0,0,0,0,72.5,5.0,58.25
2021-07-01,0,0,0,0,108.5,16.0,99.25
2021-07-02,0,0,0,0,134.75,81.75,109.5
2021-07-05,0,0,0,0,47.25,10.75,15.5
2021-07-06,0,0,0,1,77.75,48.0,164.5
2021-07-07,0,0,0,0,122.25,95.0,157.5
2021-07-08,1,1,0,1,278.75,207.75,216.5
2021-07-09,0,0,0,1,102.5,29.75,163.75
2021-07-12,0,0,0,0,97.75,60.25,86.5
2021-07-13,0,0,0,0,133.25,15.25,160.75
2021-07-14,0,1,0,0,133.5,104.0,134.0
2021-07-15,0,0,0,1,98.5,1.5,193.75
2021-07-16,0,0,0,1,117.0,39.25,212.25
2021-07-19,1,1,0,0,179.25,144.75,130.75
2021-07-20,0,0,0,1,73.0,37.5,265.5
2021-07-21,0,0,1,0,98.75,16.25,140.0
2021-07-22,0,0,0,0,55.25,11.5,91.0
2021-07-23,0,0,0,1,51.5,56.75,183.25
2021-07-26,0,0,0,0,89.0,23.75,94.0
2021-07-27,0,0,0,1,79.0,11.5,332.5
2021-07-28,1,0,1,1,152.75,48.25,173.25
2021-07-29,0,0,0,0,80.25,22.75,101.75
2021-07-30,0,1,0,0,125.25,166.25,113.75
2021-08-02,0,0,0,0,86.0,72.5,118.75
2021-08-03,0,0,0,1,51.5,31.0,201.25
2021-08-04,0,0,1,0,57.0,1.0,111.25
2021-08-05,0,0,0,0,47.75,32.75,99.5
2021-08-06,0,0,0,0,87.0,57.5,102.5
2021-08-09,0,0,0,0,122.25,19.75,77.0
2021-08-10,0,0,0,1,57.5,21.5,162.5
2021-08-11,1,0,0,1,137.5,52.25,156.0
2021-08-12,0,0,0,1,52.5,22.5,149.5
2021-08-13,0,0,0,0,41.0,12.5,73.5
2021-08-16,0,0,0,1,62.0,46.75,219.5
2021-08-17,0,1,1,1,120.5,117.25,160.75
2021-08-18,0,0,0,1,76.5,21.0,194.75
2021-08-19,1,1,1,1,163.75,81.5,235.5
2021-08-20,1,0,1,1,136.25,44.75,140.75
2021-08-23,0,0,0,1,66.25,44.0,213.25
2021-08-24,0,0,1,0,74.75,26.5,67.5
2021-08-25,0,0,0,0,56.75,9.25,64.0
2021-08-26,0,0,0,0,73.0,27.25,109.25
2021-08-27,0,0,0,1,71.5,27.25,166.5
2021-08-30,0,0,0,1,39.75,31.25,162.5
2021-08-31,0,0,0,0,114.5,8.0,95.0
2021-09-01,0,0,0,0,70.75,45.75,95.25
2021-09-02,0,0,0,0,68.25,57.0,131.0
2021-09-03,1,0,0,0,125.5,49.5,116.0
2021-09-06,0,0,0,0,66.75,35.75,21.0
2021-09-07,0,0,0,0,82.5,46.75,94.5
2021-09-08,0,0,0,1,86.0,7.75,143.5
2021-09-09,0,0,0,0,88.5,7.5,121.25
2021-09-10,0,1,0,1,88.0,73.25,234.0
2021-09-13,1,1,1,1,138.0,100.0,214.5
2021-09-14,0,0,1,1,107.0,55.0,179.5
2021-09-15,0,0,0,1,63.5,22.5,206.5
2021-09-16,0,0,1,1,91.25,55.5,174.0
2021-09-17,0,0,0,1,69.5,26.0,208.75
2021-09-20,1,1,1,1,290.25,246.25,344.0
2021-09-21,1,1,1,1,182.0,77.0,157.25
2021-09-22,1,0,0,1,175.0,43.25,212.25
2021-09-23,1,0,1,1,133.5,49.25,164.75
2021-09-24,1,1,0,0,156.25,93.25,144.25
2021-09-27,1,1,0,0,245.0,130.25,146.75
2021-09-28,1,1,0,1,267.75,193.0,290.5
2021-09-29,1,0,1,1,169.25,53.25,195.75
2021-09-30,0,0,0,1,129.5,67.5,208.75
2021-10-01,1,0,0,1,191.0,33.5,281.0
2021-10-04,1,0,1,1,202.25,66.25,352.25
2021-10-05,0,0,1,1,139.25,39.75,258.0
2021-10-06,1,1,1,1,252.5,136.25,281.5
2021-10-07,1,1,1,0,187.0,128.5,142.0
2021-10-08,1,0,0,0,162.5,46.5,152.25
2021-10-11,0,0,0,1,147.5,63.0,200.25
2021-10-12,1,0,0,0,196.25,59.75,157.75
2021-10-13,1,1,0,0,164.75,96.5,134.75
2021-10-14,1,1,0,1,181.75,153.25,158.0
2021-10-15,0,0,0,0,91.5,52.25,94.0
2021-10-18,0,0,0,1,128.25,58.5,243.5
2021-10-19,0,0,1,0,100.5,44.0,101.5
2021-10-20,0,0,0,0,55.25,18.75,127.5
2021-10-21,0,0,0,0,66.5,35.75,149.5
2021-10-22,0,0,0,1,86.5,52.75,190.0
2021-10-25,0,0,0,1,110.75,63.25,220.5
2021-10-26,0,1,1,1,89.5,96.75,198.25
2021-10-27,0,0,0,1,85.75,25.5,159.0
2021-10-28,0,1,0,0,97.75,84.0,136.25
2021-10-29,0,1,0,1,97.5,130.0,231.0
2021-11-01,0,0,1,0,64.0,18.25,130.0
2021-11-02,0,0,0,0,47.25,28.0,116.0
2021-11-03,0,0,0,1,51.5,18.25,211.0
2021-11-04,0,0,0,1,87.75,50.0,221.5
2021-11-05,0,0,1,0,122.0,75.75,156.25
2021-11-08,0,0,0,0,90.5,1.25,91.75
2021-11-09,0,0,0,1,106.0,46.75,231.75
2021-11-10,0,1,1,1,162.75,115.75,321.75
2021-11-11,0,1,1,0,137.5,124.0,104.25
2021-11-12,0,0,0,1,60.75,47.0,211.75
2021-11-15,0,0,0,1,70.5,51.25,171.0
2021-11-16,0,0,0,1,84.0,31.5,174.75
2021-11-17,0,0,0,0,59.0,10.5,129.0
2021-11-18,0,0,0,1,90.25,84.75,199.75
2021-11-19,0,0,0,0,99.75,68.5,112.25
2021-11-22,0,0,0,1,79.5,66.5,391.0
2021-11-23,0,0,1,1,140.25,53.0,300.25
2021-11-24,1,1,1,1,183.75,107.25,266.5
2021-11-25,0,0,1,0,83.5,25.25,38.5
2021-11-26,1,1,0,1,291.0,155.0,319.5
2021-11-29,1,1,1,1,221.0,194.5,229.75
2021-11-30,1,0,0,1,203.0,35.25,388.25
2021-12-01,1,1,1,1,221.5,188.5,569.75
2021-12-02,1,0,1,1,202.25,51.25,303.25
2021-12-03,1,0,1,1,260.0,55.5,552.75
2021-12-06,1,0,1,1,217.25,17.5,337.75
2021-12-07,1,1,1,1,342.25,276.25,225.25
2021-12-08,0,0,0,0,120.5,9.25,146.0
2021-12-09,0,0,0,1,117.0,51.75,275.0
2021-12-10,0,0,0,1,182.25,116.75,202.5
2021-12-13,0,0,0,1,90.75,0.25,264.5
2021-12-14,1,1,0,1,253.0,204.75,264.5
2021-12-15,0,0,0,1,119.75,18.75,557.25
2021-12-16,0,0,1,1,180.0,40.5,549.25
2021-12-17,1,1,1,1,236.0,150.25,305.75
2021-12-20,1,1,1,0,348.25,203.0,166.75
2021-12-21,0,1,0,1,156.25,136.5,381.75
2021-12-22,0,0,1,1,112.75,11.25,243.75
2021-12-23,0,0,0,0,75.5,15.5,179.25
2021-12-27,0,0,0,1,80.75,52.75,219.0
2021-12-28,0,0,0,0,125.25,40.5,158.25
2021-12-29,0,0,0,0,94.0,1.75,161.5
2021-12-30,0,0,0,0,101.75,13.75,156.25
2021-12-31,0,0,0,0,95.0,20.0,150.75
2022-01-03,0,0,0,1,97.5,58.0,206.5
2022-01-04,0,0,0,1,86.75,20.25,372.5
2022-01-05,0,0,1,1,98.25,72.75,488.5
2022-01-06,1,0,1,1,192.0,72.5,297.25
2022-01-07,1,0,0,1,228.75,0.75,317.75
2022-01-10,1,1,1,1,313.0,207.5,464.25
2022-01-11,0,0,1,1,192.75,39.25,365.5
2022-01-12,1,0,1,0,217.0,107.0,212.25
2022-01-13,0,0,0,1,141.75,54.5,521.0
2022-01-14,1,0,1,1,242.25,108.0,227.5
2022-01-17,0,0,0,0,146.25,4.5,68.0
2022-01-18,1,1,0,1,332.75,207.5,264.25
2022-01-19,1,0,0,1,271.75,53.25,347.5
2022-01-20,0,1,1,1,213.0,131.25,523.5
2022-01-21,0,0,1,1,213.75,90.75,444.25
2022-01-24,1,1,1,1,474.25,223.25,815.5
2022-01-25,1,1,1,1,369.0,286.75,386.5
2022-01-26,1,1,1,1,562.75,324.25,665.5
2022-01-27,1,1,1,1,493.0,185.0,462.5
2022-01-28,1,0,1,1,352.75,80.25,577.5
2022-01-31,0,0,1,1,194.5,53.75,498.25
2022-02-01,0,0,1,1,148.75,45.25,291.25
2022-02-02,0,1,0,0,157.75,176.25,236.75
2022-02-03,0,1,0,1,195.0,409.75,386.5
2022-02-04,1,0,0,1,462.5,14.75,386.75
2022-02-07,0,0,0,1,159.75,26.75,295.25
2022-02-08,0,0,0,1,138.25,50.5,308.0
2022-02-09,0,1,0,0,206.75,185.75,191.0
2022-02-10,1,1,0,1,340.5,300.0,407.0
2022-02-11,0,0,0,1,211.25,2.0,585.75
2022-02-14,0,0,1,0,265.75,29.5,291.75
2022-02-15,1,1,0,0,350.75,215.25,187.0
2022-02-16,0,0,0,0,172.0,94.0,264.0
2022-02-17,0,0,0,1,177.5,138.5,352.75
2022-02-18,0,0,0,1,170.5,39.25,315.25
2022-02-21,1,0,0,0,382.5,142.75,166.25
2022-02-22,1,0,0,1,374.25,146.5,398.25
2022-02-23,0,0,0,1,157.0,129.5,536.25
2022-02-24,1,1,1,1,492.0,433.75,924.75
2022-02-25,1,0,1,1,348.25,28.75,354.5
2022-02-28,1,0,0,0,378.5,139.25,297.25
2022-03-01,0,0,0,1,257.25,58.75,373.0
2022-03-02,0,0,0,1,232.5,63.0,342.5
2022-03-03,0,0,0,1,233.0,114.5,399.5
2022-03-04,0,0,0,0,339.25,101.0,262.0
2022-03-07,0,0,0,1,320.75,3.0,566.0
2022-03-08,0,0,1,1,317.25,33.5,547.25
2022-03-09,1,1,1,0,452.25,348.75,299.25
2022-03-10,0,0,0,0,271.25,176.0,239.25
2022-03-11,1,0,0,1,406.75,120.25,442.0
2022-03-14,0,0,0,1,220.75,50.5,380.0
2022-03-15,0,0,0,1,242.5,105.75,399.75
2022-03-16,0,0,0,1,303.25,164.0,494.0
2022-03-17,0,0,1,0,189.25,82.5,303.75
2022-03-18,0,0,0,1,105.75,73.5,428.5
2022-03-21,0,0,0,0,127.25,37.5,283.0
2022-03-22,0,0,0,0,155.75,18.5,317.5
2022-03-23,0,0,0,0,157.25,123.5,241.25
2022-03-24,0,0,0,0,124.0,79.0,335.0
2022-03-25,0,0,0,0,147.75,3.75,235.0
2022-03-28,0,0,0,0,153.5,1.75,287.0
2022-03-29,0,0,0,0,217.25,161.0,236.0
2022-03-30,0,0,0,0,135.0,75.0,223.0
2022-03-31,0,0,0,0,108.5,0.25,240.25
2022-04-01,0,0,0,0,83.25,28.5,206.5
2022-04-04,0,0,0,0,137.0,34.75,283.0
2022-04-05,0,0,0,1,98.75,58.75,355.5
2022-04-06,0,1,0,0,283.0,229.25,257.0
2022-04-07,0,0,0,0,170.25,38.75,315.75
2022-04-08,0,0,0,0,181.25,75.25,187.5
2022-04-11,0,1,0,0,251.75,178.25,212.5
2022-04-12,1,1,0,1,381.5,198.75,397.75
2022-04-13,0,0,0,1,173.75,11.5,345.25
2022-04-14,0,0,0,1,119.5,2.25,361.25
2022-04-18,0,0,0,0,165.25,43.75,216.25
2022-04-19,0,0,0,1,191.5,41.75,407.0
2022-04-20,0,0,0,0,253.75,38.75,311.5
2022-04-21,0,0,0,1,139.25,169.5,602.75
2022-04-22,0,0,1,1,166.75,4.25,437.5
2022-04-25,0,0,1,0,176.25,69.5,308.0
2022-04-26,0,0,0,1,157.25,87.5,443.75
2022-04-27,0,0,1,1,324.0,12.0,324.5
2022-04-28,0,1,0,1,214.25,209.25,508.75
2022-04-29,0,1,1,1,303.75,175.5,601.75
2022-05-02,0,0,1,1,211.5,16.25,373.0
2022-05-03,0,0,0,0,169.0,2.0,216.0
2022-05-04,0,0,0,1,73.75,16.75,673.25
2022-05-05,0,1,1,1,215.0,190.5,642.5
2022-05-06,0,0,1,1,186.75,100.25,410.0
2022-05-09,0,1,0,1,294.0,244.25,424.0
2022-05-10,1,1,0,1,416.75,300.75,377.25
2022-05-11,1,0,0,1,453.5,95.75,540.0
2022-05-12,0,1,1,1,315.5,183.75,443.5
2022-05-13,0,1,1,1,318.0,184.5,367.25
2022-05-16,0,0,0,0,268.25,73.5,211.0
2022-05-17,0,1,0,0,314.0,243.5,246.75
2022-05-18,0,1,0,1,236.0,195.25,511.75
2022-05-19,0,0,1,0,248.75,75.5,281.5
2022-05-20,0,0,0,1,213.5,148.5,562.0
2022-05-23,0,0,1,0,188.75,50.75,270.25
2022-05-24,0,1,0,0,182.25,218.0,271.5
2022-05-25,0,0,0,0,221.0,64.75,325.25
2022-05-26,0,0,0,1,172.0,36.25,444.5
2022-05-27,0,0,1,0,215.0,133.5,281.25
2022-05-30,0,0,0,0,209.5,75.5,99.75
2022-05-31,0,0,0,0,230.5,124.25,288.25
2022-06-01,0,0,0,1,160.5,87.75,368.5
2022-06-02,0,0,0,1,168.25,47.0,457.25
2022-06-03,1,1,1,0,274.75,220.75,228.5
2022-06-06,0,1,0,0,239.0,187.75,277.5
2022-06-07,0,0,0,1,188.75,142.5,328.5
2022-06-08,0,0,0,0,98.25,37.75,204.5
2022-06-09,0,0,0,1,198.0,76.5,403.0
2022-06-10,1,1,0,0,339.5,229.75,267.25
2022-06-13,1,1,0,0,369.75,370.75,320.5
2022-06-14,0,0,0,0,190.0,119.75,219.5
2022-06-15,0,0,0,1,157.25,136.25,421.25
2022-06-16,1,1,0,0,506.0,302.0,281.25
2022-06-17,0,0,0,0,160.25,24.0,276.0
2022-06-20,0,0,0,0,163.5,73.75,100.0
2022-06-21,0,0,0,0,148.25,50.75,202.75
2022-06-22,0,0,0,0,260.0,108.75,300.0
2022-06-23,0,0,0,0,246.0,103.25,224.25
2022-06-24,0,0,0,0,190.75,115.25,310.5
2022-06-27,0,0,0,0,190.75,41.25,219.25
2022-06-28,0,0,0,1,188.5,18.25,507.0
2022-06-29,0,0,1,0,107.5,5.0,185.0
2022-06-30,0,0,0,1,235.5,133.5,334.5
2022-07-01,0,0,0,0,174.5,58.75,228.5
2022-07-04,0,0,0,0,147.75,44.25,43.5
2022-07-05,1,0,0,1,317.0,96.5,425.5
2022-07-06,0,0,0,0,145.75,13.25,220.75
2022-07-07,0,0,0,0,126.25,32.75,250.5
2022-07-08,0,0,0,0,177.75,119.0,232.5
2022-07-11,0,0,0,0,158.5,104.75,209.5
2022-07-12,0,0,0,1,194.0,52.75,313.5
2022-07-13,1,1,0,1,520.0,234.25,332.0
2022-07-14,0,0,0,1,164.0,113.25,323.75
2022-07-15,0,0,0,0,191.5,123.0,159.75
2022-07-18,0,0,0,1,152.0,116.5,329.0
2022-07-19,0,0,0,0,174.5,153.75,293.0
2022-07-20,0,0,0,0,169.0,20.0,261.5
2022-07-21,0,0,0,0,165.0,17.5,272.25
2022-07-22,0,0,0,1,96.25,38.25,352.5
2022-07-25,0,0,0,0,113.75,1.0,177.75
2022-07-26,0,0,0,0,83.25,76.75,216.5
2022-07-27,0,1,0,1,141.0,192.0,413.75
2022-07-28,0,0,1,1,146.25,8.75,315.5
2022-07-29,0,0,0,0,148.5,64.5,268.25
2022-08-01,0,0,0,0,119.0,74.0,257.25
2022-08-02,0,0,0,0,160.25,98.25,277.0
2022-08-03,0,0,0,1,149.25,71.25,321.25
2022-08-04,0,0,0,0,128.25,3.0,162.5
2022-08-05,1,1,0,0,277.5,212.5,224.5
2022-08-08,0,0,0,1,181.0,38.25,299.0
2022-08-09,0,0,0,0,157.0,80.0,149.0
2022-08-10,1,1,0,0,391.75,308.25,170.5
2022-08-11,0,0,0,1,140.5,96.0,291.0
2022-08-12,0,0,0,0,105.25,85.5,224.0
2022-08-15,0,0,0,0,81.25,44.0,171.0
2022-08-16,0,0,0,0,61.5,43.25,217.75
2022-08-17,0,1,0,0,173.25,136.25,210.0
2022-08-18,0,0,0,0,146.5,4.75,153.0
2022-08-19,0,0,0,0,177.0,129.0,198.25
2022-08-22,0,1,0,0,182.75,183.0,216.5
2022-08-23,0,0,0,0,142.25,17.5,153.0
2022-08-24,0,0,0,0,112.25,22.0,159.75
2022-08-25,0,0,0,0,160.75,73.75,199.5
2022-08-26,0,0,0,1,151.5,12.0,582.5
2022-08-29,0,0,1,0,132.25,116.5,162.0
2022-08-30,0,0,0,1,175.5,68.5,339.75
2022-08-31,0,0,1,0,150.75,123.25,236.75
2022-09-01,0,0,0,1,180.5,108.75,281.75
2022-09-02,0,0,0,1,180.5,119.25,421.5
2022-09-05,0,0,1,0,95.5,2.5,62.5
2022-09-06,0,0,0,1,132.25,6.5,239.0
2022-09-07,0,0,0,1,155.5,18.0,276.75
