trading_day,bias_overnight,bias_gap,bias_dayhist,y,on_range,gap,rth_range
2020-09-25T00:00:00,1,0,1,1,458.0,134.0,616.0
2020-09-28T00:00:00,0,1,1,0,279.0,360.0,245.0
2020-09-29T00:00:00,0,0,0,0,265.0,31.0,270.0
2020-09-30T00:00:00,1,0,0,1,380.0,61.0,517.0
2020-10-01T00:00:00,0,0,1,1,183.0,179.0,383.0
2020-10-02T00:00:00,1,1,0,1,537.0,396.0,491.0
2020-10-05T00:00:00,0,1,1,0,137.0,205.0,287.0
2020-10-06T00:00:00,0,0,0,1,244.0,119.0,629.0
2020-10-07T00:00:00,0,1,1,1,241.0,260.0,344.0
2020-10-08T00:00:00,0,0,0,0,232.0,166.0,202.0
2020-10-09T00:00:00,0,0,0,0,120.0,135.0,242.0
2020-10-12T00:00:00,0,0,0,1,131.0,100.0,301.0
2020-10-13T00:00:00,0,0,0,0,192.0,76.0,213.0
2020-10-14T00:00:00,0,0,0,1,201.0,48.0,338.0
2020-10-15T00:00:00,1,1,0,1,349.0,320.0,380.0
2020-10-16T00:00:00,0,0,0,0,201.0,121.0,249.0
2020-10-19T00:00:00,0,0,0,1,128.0,64.0,575.0
2020-10-20T00:00:00,0,0,1,1,199.0,104.0,337.0
2020-10-21T00:00:00,0,0,0,0,284.0,47.0,264.0
2020-10-22T00:00:00,0,0,0,1,208.0,7.0,388.0
2020-10-23T00:00:00,0,0,0,1,207.0,77.0,310.0
2020-10-26T00:00:00,0,1,0,1,201.0,324.0,678.0
2020-10-27T00:00:00,0,0,1,0,165.0,8.0,250.0
2020-10-28T00:00:00,1,1,0,1,542.0,584.0,577.0
2020-10-29T00:00:00,1,0,1,1,518.0,34.0,615.0
2020-10-30T00:00:00,1,0,1,1,511.0,155.0,493.0
2020-11-02T00:00:00,1,1,0,1,560.0,389.0,360.0
2020-11-03T00:00:00,1,1,0,1,335.0,358.0,431.0
2020-11-04T00:00:00,1,0,0,1,699.0,107.0,759.0
2020-11-05T00:00:00,1,1,1,0,381.0,374.0,294.0
2020-11-06T00:00:00,1,0,0,0,492.0,18.0,253.0
2020-11-09T00:00:00,1,1,0,1,1481.0,1551.0,815.0
2020-11-10T00:00:00,1,0,1,1,508.0,137.0,355.0
2020-11-11T00:00:00,0,0,0,0,232.0,166.0,323.0
2020-11-12T00:00:00,0,0,0,1,221.0,191.0,408.0
2020-11-13T00:00:00,0,0,0,0,358.0,185.0,348.0
2020-11-16T00:00:00,0,1,0,0,391.0,420.0,236.0
2020-11-17T00:00:00,0,0,0,0,281.0,258.0,357.0
2020-11-18T00:00:00,0,0,0,1,327.0,88.0,499.0
2020-11-19T00:00:00,0,0,0,0,286.0,71.0,291.0
2020-11-20T00:00:00,0,0,0,0,216.0,44.0,238.0
2020-11-23T00:00:00,0,0,0,0,189.0,177.0,324.0
2020-11-24T00:00:00,0,0,0,0,130.0,309.0,281.0
2020-11-25T00:00:00,0,0,0,0,157.0,48.0,196.0
2020-11-26T00:00:00,0,0,0,0,122.0,1.0,125.0
2020-11-27T00:00:00,0,0,0,0,153.0,128.0,205.0
2020-11-30T00:00:00,0,0,0,0,296.0,188.0,307.0
2020-12-01T00:00:00,0,0,0,0,174.0,313.0,289.0
2020-12-02T00:00:00,0,0,0,0,141.0,134.0,301.0
2020-12-03T00:00:00,0,0,0,0,164.0,19.0,236.0
2020-12-04T00:00:00,0,0,0,0,129.0,70.0,201.0
2020-12-07T00:00:00,0,0,0,0,175.0,76.0,210.0
2020-12-08T00:00:00,0,0,0,0,197.0,105.0,286.0
2020-12-09T00:00:00,0,0,0,1,94.0,102.0,362.0
2020-12-10T00:00:00,0,0,0,0,230.0,89.0,199.0
2020-12-11T00:00:00,0,0,0,0,329.0,109.0,259.0
2020-12-14T00:00:00,0,0,0,1,119.0,209.0,477.0
2020-12-15T00:00:00,0,0,0,1,237.0,99.0,345.0
2020-12-16T00:00:00,0,0,0,0,166.0,7.0,159.0
2020-12-17T00:00:00,0,0,0,0,115.0,101.0,98.0
2020-12-18T00:00:00,0,0,0,0,193.0,4.0,293.0
2020-12-21T00:00:00,1,1,0,1,876.0,317.0,558.0
2020-12-22T00:00:00,0,0,1,0,228.0,32.0,194.0
2020-12-23T00:00:00,0,0,0,0,206.0,106.0,167.0
2020-12-24T00:00:00,0,0,0,0,98.0,33.0,118.0
2020-12-28T00:00:00,0,0,0,0,115.0,173.0,181.0
2020-12-29T00:00:00,0,0,0,1,91.0,150.0,312.0
2020-12-30T00:00:00,0,0,0,0,109.0,62.0,135.0
2020-12-31T00:00:00,0,0,0,0,100.0,12.0,295.0
2021-01-04T00:00:00,0,0,0,1,225.0,95.0,806.0
2021-01-05T00:00:00,0,0,1,1,233.0,37.0,368.0
2021-01-06T00:00:00,0,0,0,1,277.0,11.0,715.0
2021-01-07T00:00:00,0,0,1,0,191.0,136.0,295.0
2021-01-08T00:00:00,0,0,0,1,176.0,78.0,347.0
2021-01-11T00:00:00,0,1,0,0,244.0,255.0,258.0
2021-01-12T00:00:00,0,0,0,0,137.0,0.0,231.0
2021-01-13T00:00:00,0,0,0,0,171.0,6.0,166.0
2021-01-14T00:00:00,0,0,0,0,66.0,96.0,230.0
2021-01-15T00:00:00,0,0,0,1,164.0,195.0,337.0
2021-01-18T00:00:00,0,0,0,0,130.0,34.0,86.0
2021-01-19T00:00:00,0,0,0,0,124.0,215.0,223.0
2021-01-20T00:00:00,0,0,0,0,157.0,113.0,242.0
2021-01-21T00:00:00,0,0,0,0,119.0,22.0,156.0
2021-01-22T00:00:00,0,0,0,0,225.0,203.0,196.0
2021-01-25T00:00:00,0,0,0,1,307.0,108.0,419.0
2021-01-26T00:00:00,0,0,1,0,311.0,91.0,197.0
2021-01-27T00:00:00,1,1,0,1,347.0,288.0,462.0
2021-01-28T00:00:00,1,0,1,1,478.0,169.0,464.0
2021-01-29T00:00:00,1,1,1,1,337.0,215.0,622.0
2021-02-01T00:00:00,0,1,1,1,225.0,244.0,330.0
2021-02-02T00:00:00,0,1,0,1,168.0,254.0,384.0
2021-02-03T00:00:00,0,0,1,0,211.0,86.0,274.0
2021-02-04T00:00:00,0,0,0,1,155.0,60.0,290.0
2021-02-05T00:00:00,0,0,0,0,159.0,177.0,172.0
2021-02-08T00:00:00,0,0,0,0,99.0,118.0,141.0
2021-02-09T00:00:00,0,0,0,0,112.0,60.0,197.0
2021-02-10T00:00:00,0,0,0,1,129.0,124.0,294.0
2021-02-11T00:00:00,0,0,0,1,78.0,52.0,298.0
2021-02-12T00:00:00,0,0,0,0,137.0,37.0,132.0
2021-02-15T00:00:00,0,0,0,0,51.0,153.0,76.0
2021-02-16T00:00:00,0,0,0,0,173.0,59.0,173.0
2021-02-17T00:00:00,0,0,0,1,147.0,92.0,310.0
2021-02-18T00:00:00,1,0,0,1,245.0,186.0,264.0
2021-02-19T00:00:00,0,0,0,0,207.0,66.0,175.0
2021-02-22T00:00:00,1,1,0,1,235.0,198.0,367.0
2021-02-23T00:00:00,1,0,1,1,263.0,47.0,492.0
2021-02-24T00:00:00,1,0,1,1,256.0,71.0,592.0
2021-02-25T00:00:00,0,0,1,1,155.0,21.0,695.0
2021-02-26T00:00:00,1,0,1,1,298.0,31.0,518.0
2021-03-01T00:00:00,0,1,1,1,227.0,411.0,342.0
2021-03-02T00:00:00,1,0,0,0,249.0,11.0,246.0
2021-03-03T00:00:00,1,0,0,1,290.0,33.0,302.0
2021-03-04T00:00:00,0,0,0,1,246.0,26.0,921.0
2021-03-05T00:00:00,1,1,1,1,556.0,287.0,814.0
2021-03-08T00:00:00,1,0,1,1,345.0,164.0,588.0
2021-03-09T00:00:00,0,0,1,1,147.0,119.0,328.0
2021-03-10T00:00:00,1,0,0,1,290.0,194.0,380.0
2021-03-11T00:00:00,0,0,0,1,100.0,136.0,316.0
2021-03-12T00:00:00,0,0,0,1,201.0,41.0,297.0
2021-03-15T00:00:00,0,0,0,1,176.0,80.0,343.0
2021-03-16T00:00:00,0,0,0,0,98.0,120.0,174.0
2021-03-17T00:00:00,0,0,0,0,94.0,38.0,264.0
2021-03-18T00:00:00,0,0,0,1,184.0,47.0,392.0
2021-03-19T00:00:00,0,0,0,1,155.0,61.0,310.0
2021-03-22T00:00:00,0,0,0,0,195.0,42.0,294.0
2021-03-23T00:00:00,0,0,0,1,162.0,92.0,405.0
2021-03-24T00:00:00,0,0,0,1,204.0,120.0,364.0
2021-03-25T00:00:00,1,0,0,1,301.0,140.0,599.0
2021-03-26T00:00:00,0,0,1,1,119.0,139.0,418.0
2021-03-29T00:00:00,0,0,0,1,149.0,131.0,355.0
2021-03-30T00:00:00,0,0,0,0,152.0,64.0,186.0
2021-03-31T00:00:00,0,0,0,0,93.0,29.0,166.0
2021-04-01T00:00:00,0,0,0,0,128.0,66.0,189.0
2021-04-05T00:00:00,0,1,0,0,103.0,253.0,225.0
2021-04-06T00:00:00,0,0,0,0,119.0,47.0,166.0
2021-04-07T00:00:00,0,0,0,0,104.0,22.0,174.0
2021-04-08T00:00:00,0,0,0,0,132.0,14.0,171.0
2021-04-09T00:00:00,0,0,0,0,110.0,63.0,273.0
2021-04-12T00:00:00,0,0,0,0,94.0,62.0,122.0
2021-04-13T00:00:00,0,0,0,0,252.0,91.0,197.0
2021-04-14T00:00:00,0,0,0,0,65.0,2.0,239.0
2021-04-15T00:00:00,0,0,0,0,142.0,135.0,186.0
2021-04-16T00:00:00,0,0,0,0,200.0,143.0,144.0
2021-04-19T00:00:00,0,0,0,0,98.0,86.0,169.0
2021-04-20T00:00:00,1,0,0,1,300.0,139.0,311.0
2021-04-21T00:00:00,0,0,0,1,129.0,51.0,392.0
2021-04-22T00:00:00,0,0,0,1,69.0,14.0,410.0
2021-04-23T00:00:00,0,0,1,1,148.0,36.0,448.0
2021-04-26T00:00:00,0,0,1,0,94.0,72.0,213.0
2021-04-27T00:00:00,0,0,0,0,156.0,28.0,174.0
2021-04-28T00:00:00,0,0,0,0,89.0,63.0,146.0
2021-04-29T00:00:00,0,1,0,1,105.0,146.0,349.0
2021-04-30T00:00:00,0,1,0,0,168.0,165.0,181.0
2021-05-03T00:00:00,0,1,0,0,145.0,188.0,166.0
2021-05-04T00:00:00,0,0,0,1,207.0,118.0,382.0
2021-05-05T00:00:00,0,0,0,0,87.0,82.0,294.0
2021-05-06T00:00:00,0,0,0,1,123.0,62.0,371.0
2021-05-07T00:00:00,0,0,0,1,224.0,35.0,357.0
2021-05-10T00:00:00,0,0,0,1,94.0,138.0,347.0
2021-05-11T00:00:00,1,1,0,1,304.0,279.0,435.0
2021-05-12T00:00:00,1,0,1,1,274.0,138.0,657.0
2021-05-13T00:00:00,1,0,1,1,423.0,21.0,578.0
2021-05-14T00:00:00,0,1,1,1,129.0,189.0,314.0
2021-05-17T00:00:00,0,0,0,0,180.0,100.0,219.0
2021-05-18T00:00:00,0,0,0,1,183.0,14.0,364.0
2021-05-19T00:00:00,1,1,0,1,359.0,347.0,439.0
2021-05-20T00:00:00,1,0,1,1,283.0,29.0,366.0
2021-05-21T00:00:00,0,1,0,0,185.0,142.0,283.0
2021-05-24T00:00:00,0,0,0,0,93.0,137.0,164.0
2021-05-25T00:00:00,0,0,0,0,81.0,73.0,240.0
2021-05-26T00:00:00,0,0,0,0,112.0,41.0,146.0
2021-05-27T00:00:00,1,1,0,0,329.0,213.0,233.0
2021-05-28T00:00:00,0,1,0,0,77.0,189.0,116.0
2021-05-31T00:00:00,0,0,0,0,91.0,33.0,83.0
2021-06-01T00:00:00,1,1,0,1,310.0,384.0,310.0
2021-06-02T00:00:00,0,0,0,0,135.0,81.0,161.0
2021-06-03T00:00:00,1,1,0,1,283.0,170.0,345.0
2021-06-04T00:00:00,0,0,0,0,204.0,103.0,145.0
2021-06-07T00:00:00,0,0,0,0,174.0,67.0,256.0
2021-06-08T00:00:00,0,0,0,0,190.0,7.0,218.0
2021-06-09T00:00:00,0,0,0,0,95.0,23.0,220.0
2021-06-10T00:00:00,1,1,0,1,226.0,171.0,296.0
2021-06-11T00:00:00,0,0,0,1,141.0,100.0,300.0
2021-06-14T00:00:00,0,0,0,0,160.0,28.0,240.0
2021-06-15T00:00:00,0,0,0,0,118.0,97.0,217.0
