exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars
2022-09-07,1,X-Short,5,62.75,12.55,31.0,-171.75,672.0,4
2022-09-28,2,X-Short,7,0.35,0.049999999999999996,43.4,-21.7,1159.55,3
2022-10-03,3,X-Short,8,-899.6,-112.45,49.6,-874.8,75.2,2
2022-10-04,4,X-Short,8,-499.6,-62.45,49.6,-574.8,275.2,1
2022-10-11,5,X-Short,8,1100.4,137.55,49.6,-274.8,1125.2,6
2022-10-26,6,X-Short,6,37.8,6.3,37.2,-431.1,431.4,1
2022-11-14,7,X-Short,5,-874.75,-174.95,31.0,-859.25,109.5,2
2022-11-23,8,X-Short,5,-218.5,-43.7,31.0,-578.0,234.5,1
2022-12-07,9,X-Short,5,31.5,6.3,31.0,-203.0,203.25,1
2023-01-11,10,X-Short,7,1444.1,206.29999999999998,43.4,-65.45,1465.8,0
2023-01-25,11,X-Short,5,-937.25,-187.45,31.0,-921.75,47.0,0
2023-02-07,12,EOD Flat,4,1375.2,343.8,24.8,-237.4,2612.6,15
2023-02-13,13,X-Short,7,44.1,6.3,43.4,-196.7,372.05,2
2023-03-06,14,X-Short,8,2000.4,250.05,49.6,-224.8,2025.2,14
2023-03-08,15,X-Short,6,2400.3,400.05,37.2,-468.6,2418.9,9
2023-03-22,16,X-Short,8,100.4,12.55,49.6,-774.8,975.2,9
2023-03-28,17,X-Short,7,0.35,0.049999999999999996,43.4,-371.7,240.8,2
2023-04-03,18,X-Short,6,-524.7,-87.45,37.2,-806.1,243.9,3
2023-04-05,19,X-Short,5,62.75,12.55,31.0,-234.25,1390.75,3
2023-04-24,20,X-Short,8,100.4,12.55,49.6,-224.8,425.2,1
2023-04-25,21,X-Short,8,-949.6,-118.7,49.6,-924.8,0.0,1
2023-05-03,22,X-Short,7,87.85,12.549999999999999,43.4,-152.95,590.8,1
2023-05-10,23,X-Short,8,50.4,6.3,49.6,-774.8,275.2,4
2023-05-22,24,X-Short,7,1356.6,193.79999999999998,43.4,-284.2,1378.3,11
2023-06-05,25,X-Short,8,0.4,0.05,49.6,-474.8,475.2,1
2023-07-03,26,EOD Flat,8,2050.4,256.3,49.6,-74.8,2125.2,10
2023-07-10,27,X-Short,8,50.4,6.3,49.6,-274.8,975.2,3
2023-07-12,28,X-Short,6,75.3,12.549999999999999,37.2,-506.1,393.9,1
