exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars
2022-08-25,1,EOD flat,2,398.36,199.18,3.64,-189.82,468.18,28
2022-08-29,2,EOD flat,2,-408.64,-204.32,3.64,-633.82,14.18,26
2022-09-01,3,EOD flat,2,265.36,132.68,3.64,-167.82,301.18,7
2022-09-01,4,EOD flat,2,192.36,96.18,3.64,-240.82,228.18,7
2022-09-02,5,SL/TP Long,2,-1303.64,-651.82,3.64,-1301.82,161.18,13
2022-09-02,6,SL/TP Long,2,-1397.64,-698.82,3.64,-1395.82,18.18,13
2022-09-07,7,EOD flat,2,547.36,273.68,3.64,-100.82,720.18,23
2022-09-07,8,EOD flat,2,489.36,244.68,3.64,-158.82,662.18,23
2022-09-08,9,EOD flat,2,391.36,195.68,3.64,-439.82,527.18,28
2022-09-08,10,EOD flat,2,374.36,187.18,3.64,-456.82,510.18,26
2022-09-14,11,SL/TP Long,2,-292.64,-146.32,3.64,-402.82,234.18,17
2022-09-14,12,EOD flat,2,572.36,286.18,3.64,-51.82,588.18,26
2022-09-15,13,SL/TP Long,2,-786.64,-393.32,3.64,-784.82,117.18,5
2022-09-15,14,SL/TP Long,2,-789.64,-394.82,3.64,-787.82,89.18,4
2022-09-16,15,EOD flat,2,340.36,170.18,3.64,-376.82,351.18,27
2022-09-16,16,EOD flat,2,351.36,175.68,3.64,-365.82,362.18,27
2022-09-19,17,EOD flat,2,519.36,259.68,3.64,-267.82,605.18,28
2022-09-19,18,EOD flat,2,509.36,254.68,3.64,-277.82,595.18,27
2022-09-20,19,EOD flat,2,0.36,0.18,3.64,-477.82,300.18,27
2022-09-20,20,EOD flat,2,-40.64,-20.32,3.64,-518.82,259.18,24
2022-09-21,21,SL/TP Long,2,62.36,31.18,3.64,-181.82,335.18,16
2022-09-21,22,SL/TP Long,2,9.36,4.68,3.64,-234.82,282.18,15
2022-09-26,24,EOD flat,2,-722.64,-361.32,3.64,-818.82,169.18,27
