exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2020-08-26,1,ORB Long,2,401.36,200.68,3.64,0.0,610.18,9,False
2020-08-26,2,Scale-in Long,2,365.36,182.68,3.64,-5.82,574.18,9,True
2020-08-27,3,ORB Long,2,-379.64,-189.82,3.64,-820.82,26.18,19,False
2020-08-31,4,ORB Long,2,189.36,94.68,3.64,-103.82,492.18,24,False
2020-08-31,5,Scale-in Long,2,182.36,91.18,3.64,-110.82,485.18,24,True
2020-09-01,6,ORB Long,2,501.36,250.68,3.64,-12.82,507.18,26,False
2020-09-01,7,Scale-in Long,2,481.36,240.68,3.64,-32.82,487.18,26,True
2020-09-08,8,ORB Long,2,-1006.64,-503.32,3.64,-1013.82,439.18,27,False
2020-09-08,9,Scale-in Long,2,-1262.64,-631.32,3.64,-1269.82,183.18,26,True
2020-09-09,11,Scale-in Long,2,88.36,44.18,3.64,-143.82,525.18,25,True
2020-09-09,10,ORB Long,2,253.36,126.68,3.64,0.0,690.18,25,False
2020-09-10,12,ORB Long,2,-643.64,-321.82,3.64,-641.82,80.18,3,False
2020-09-10,13,Scale-in Long,2,-639.64,-319.82,3.64,-637.82,84.18,3,True
2020-09-17,14,ORB Long,2,5.36,2.68,3.64,-602.82,343.18,27,False
2020-09-17,15,Scale-in Long,2,-96.64,-48.32,3.64,-704.82,241.18,26,True
2020-09-21,16,ORB Long,2,685.36,342.68,3.64,-624.82,788.18,26,False
2020-09-21,17,Scale-in Long,2,703.36,351.68,3.64,-217.82,806.18,18,True
2020-09-22,18,ORB Long,2,307.36,153.68,3.64,-107.82,468.18,12,False
2020-09-22,19,Scale-in Long,2,189.36,94.68,3.64,-50.82,350.18,11,True
2020-09-24,21,Scale-in Long,2,28.36,14.18,3.64,-504.82,443.18,26,True
2020-09-24,20,ORB Long,2,53.36,26.68,3.64,-247.82,700.18,21,False
2020-09-25,23,Scale-in Long,2,786.36,393.18,3.64,-41.82,922.18,25,True
2020-09-25,22,ORB Long,2,840.36,420.18,3.64,0.0,976.18,25,False
2020-09-28,24,ORB Long,2,166.36,83.18,3.64,-124.82,204.18,3,False
2020-09-28,25,Scale-in Long,2,137.36,68.68,3.64,-22.82,175.18,3,True
2020-09-29,26,ORB Long,2,-247.64,-123.82,3.64,-364.82,22.18,26,False
