day,imb_mln,sign_source,side,fill,exit_px,exit_kind,exit_bucket,gross_pts,net_pts,net_slip_pts
2025-03-14,619.2,explicit,-1,5631.0,5626.5,target,970,4.5,4.136,3.886
2025-03-19,-1221.6,explicit,1,5735.25,5732.25,time,1000,-3.0,-3.364,-3.864
2025-03-20,1507.9,explicit,-1,5717.0,5715.75,time,1000,1.25,0.886,0.386
2025-03-24,783.8,explicit,-1,5815.0,5815.5,time,1000,-0.5,-0.864,-1.3639999999999999
2025-03-31,6800.0,explicit,-1,5647.0,5642.5,target,970,4.5,4.136,3.886
2025-04-03,655.8,explicit,-1,5435.5,5431.0,target,975,4.5,4.136,3.886
2025-04-04,-3596.4,explicit,1,5096.25,5090.25,stop,970,-6.0,-6.364,-6.864
2025-04-07,-2213.9,explicit,1,5127.5,5132.0,target,970,4.5,4.136,3.886
2025-04-08,-648.9,explicit,1,5019.0,5013.0,stop,970,-6.0,-6.364,-6.864
2025-04-16,576.2,explicit,-1,5313.0,5308.5,target,970,4.5,4.136,3.886
2025-04-17,-2217.2,explicit,1,5328.75,5317.5,stop,970,-11.25,-11.614,-12.114
2025-05-07,-1437.8,explicit,1,5652.0,5645.5,stop,970,-6.5,-6.864,-7.364
2025-05-08,-2045.8,explicit,1,5691.75,5685.75,stop,970,-6.0,-6.364,-6.864
2025-05-28,-679.1,explicit,1,5901.5,5906.0,target,975,4.5,4.136,3.886
2025-06-06,570.1,explicit,-1,6005.75,6011.75,stop,985,-6.0,-6.364,-6.864
2025-06-11,-1062.5,explicit,1,6028.25,6032.75,target,975,4.5,4.136,3.886
2025-06-12,-972.7,explicit,1,6048.25,6044.75,time,1000,-3.5,-3.864,-4.364
2025-06-25,-1194.9,explicit,1,6146.5,6144.75,time,1000,-1.75,-2.114,-2.614
2025-06-26,-2684.7,explicit,1,6190.75,6195.0,time,1000,4.25,3.886,3.386
2025-07-10,-2162.1,explicit,1,6322.75,6324.5,time,1000,1.75,1.3860000000000001,0.8860000000000001
2025-07-16,-541.0,explicit,1,6300.5,6299.75,time,1000,-0.75,-1.1139999999999999,-1.6139999999999999
2025-07-17,-3251.3,explicit,1,6339.25,6343.75,target,985,4.5,4.136,3.886
2025-07-24,-2243.4,explicit,1,6399.75,6404.25,target,970,4.5,4.136,3.886
2025-08-06,-1744.3,explicit,1,6370.0,6368.5,time,1000,-1.5,-1.8639999999999999,-2.364
2025-08-11,-1209.3,explicit,1,6398.25,6396.75,time,1000,-1.5,-1.8639999999999999,-2.364
2025-08-15,-579.9,explicit,1,6466.5,6465.5,time,1000,-1.0,-1.3639999999999999,-1.8639999999999999
2025-08-25,-1154.5,explicit,1,6459.25,6459.25,time,1000,0.0,-0.364,-0.864
2025-08-29,-847.1,explicit,1,6473.5,6473.5,time,1000,0.0,-0.364,-0.864
2025-09-05,819.8,explicit,-1,6489.75,6485.25,target,975,4.5,4.136,3.886
2025-09-08,-1574.0,explicit,1,6506.0,6506.75,time,1000,0.75,0.386,-0.11399999999999999
2025-09-11,-1290.1,explicit,1,6592.25,6591.5,time,1000,-0.75,-1.1139999999999999,-1.6139999999999999
2025-09-17,839.6,explicit,-1,6665.25,6660.75,target,975,4.5,4.136,3.886
2025-09-18,-1812.2,explicit,1,6694.25,6698.75,target,990,4.5,4.136,3.886
2025-09-22,1070.2,explicit,-1,6750.5,6746.0,target,970,4.5,4.136,3.886
2025-10-03,-1323.6,explicit,1,6760.75,6763.25,time,1000,2.5,2.136,1.6360000000000001
2025-10-10,-970.1,explicit,1,6600.25,6604.75,target,970,4.5,4.136,3.886
2025-10-15,-1428.7,explicit,1,6717.25,6711.25,stop,990,-6.0,-6.364,-6.864
2025-10-23,-3088.0,explicit,1,6777.0,6777.25,time,1000,0.25,-0.11399999999999999,-0.614
2025-10-24,-992.8,explicit,1,6827.5,6828.75,time,1000,1.25,0.886,0.386
2025-10-28,-914.8,explicit,1,6925.75,6925.75,time,1000,0.0,-0.364,-0.864
2025-11-12,1200.0,explicit,-1,6878.25,6878.0,time,1000,0.25,-0.11399999999999999,-0.614
2025-11-21,-992.8,explicit,1,6630.25,6624.25,stop,970,-6.0,-6.364,-6.864
2025-11-24,-2003.2,explicit,1,6722.25,6726.75,target,995,4.5,4.136,3.886
2025-11-26,-1628.2,explicit,1,6831.75,6829.5,time,1000,-2.25,-2.614,-3.114
2025-12-01,-920.0,explicit,1,6828.25,6827.5,time,1000,-0.75,-1.1139999999999999,-1.6139999999999999
2025-12-03,-1115.5,explicit,1,6864.5,6864.0,time,1000,-0.5,-0.864,-1.3639999999999999
2025-12-05,-1365.3,explicit,1,6879.25,6880.75,time,1000,1.5,1.1360000000000001,0.6360000000000001
2025-12-10,-1434.3,explicit,1,6891.75,6891.5,time,1000,-0.25,-0.614,-1.1139999999999999
2025-12-19,-3483.0,explicit,1,6889.25,6893.75,target,990,4.5,4.136,3.886
2025-12-22,1249.0,explicit,-1,6931.75,6930.25,time,1000,1.5,1.1360000000000001,0.6360000000000001
2025-12-23,-703.0,explicit,1,6959.75,6958.25,time,1000,-1.5,-1.8639999999999999,-2.364
2025-12-26,-582.0,explicit,1,6978.5,6977.0,time,1000,-1.5,-1.8639999999999999,-2.364
2025-12-31,-1631.0,explicit,1,6894.25,6893.25,time,1000,-1.0,-1.3639999999999999,-1.8639999999999999
2026-01-02,1485.0,explicit,-1,6902.0,6901.75,time,1000,0.25,-0.11399999999999999,-0.614
2026-01-05,-1233.0,explicit,1,6946.0,6944.75,time,1000,-1.25,-1.6139999999999999,-2.114
2026-01-06,-768.0,explicit,1,6987.75,6987.5,time,1000,-0.25,-0.614,-1.1139999999999999
2026-01-09,-1157.0,explicit,1,7003.75,7003.25,time,1000,-0.5,-0.864,-1.3639999999999999
2026-01-13,1628.0,explicit,-1,7001.75,7000.25,time,1000,1.5,1.1360000000000001,0.6360000000000001
2026-01-14,1837.0,explicit,-1,6968.0,6963.5,target,970,4.5,4.136,3.886
2026-01-15,-1494.0,explicit,1,6984.75,6982.25,time,1000,-2.5,-2.864,-3.364
2026-01-16,1125.0,explicit,-1,6977.25,6976.25,time,1000,1.0,0.636,0.136
2026-01-21,-765.0,explicit,1,6914.25,6918.75,target,970,4.5,4.136,3.886
2026-01-22,502.0,explicit,-1,6942.5,6943.0,time,1000,-0.5,-0.864,-1.3639999999999999
2026-01-26,-2171.0,explicit,1,6979.5,6980.75,time,1000,1.25,0.886,0.386
2026-01-27,-1630.0,explicit,1,7007.5,7010.75,time,1000,3.25,2.886,2.386
2026-01-28,-1114.0,explicit,1,6988.25,6992.75,target,970,4.5,4.136,3.886
2026-01-29,1507.0,explicit,-1,6992.25,6987.75,target,970,4.5,4.136,3.886
2026-01-30,1864.0,explicit,-1,6962.75,6968.75,stop,980,-6.0,-6.364,-6.864
2026-02-03,1396.0,explicit,-1,6944.25,6939.75,target,970,4.5,4.136,3.886
2026-02-04,1151.0,explicit,-1,6898.25,6914.25,stop,970,-16.0,-16.364,-16.864
2026-02-09,-1298.0,explicit,1,6982.5,6984.25,time,1000,1.75,1.3860000000000001,0.8860000000000001
2026-02-12,-2904.0,explicit,1,6850.75,6855.25,target,970,4.5,4.136,3.886
2026-02-13,-538.0,explicit,1,6848.5,6853.0,target,975,4.5,4.136,3.886
2026-02-17,1059.0,explicit,-1,6860.25,6866.25,stop,975,-6.0,-6.364,-6.864
2026-02-19,-534.0,explicit,1,6879.5,6875.75,time,1000,-3.75,-4.114,-4.614
2026-02-20,996.0,explicit,-1,6927.0,6925.25,time,1000,1.75,1.3860000000000001,0.8860000000000001
2026-02-23,1919.0,explicit,-1,6854.75,6856.5,time,1000,-1.75,-2.114,-2.614
2026-02-24,2639.0,explicit,-1,6901.5,6900.75,time,1000,0.75,0.386,-0.11399999999999999
2026-02-27,2720.0,explicit,-1,6886.75,6882.25,target,975,4.5,4.136,3.886
2026-03-02,1443.0,explicit,-1,6885.75,6881.25,target,970,4.5,4.136,3.886
2026-03-04,-731.0,explicit,1,6870.5,6875.0,target,970,4.5,4.136,3.886
2026-03-06,-522.0,explicit,1,6734.0,6738.5,target,970,4.5,4.136,3.886
2026-03-09,-2067.7,explicit,1,6797.0,6790.0,stop,970,-7.0,-7.364,-7.864
2026-03-10,762.0,explicit,-1,6789.0,6795.0,stop,970,-6.0,-6.364,-6.864
2026-03-13,977.0,explicit,-1,6629.5,6635.5,stop,995,-6.0,-6.364,-6.864
2026-03-20,-7654.0,explicit,1,6566.75,6571.25,target,970,4.5,4.136,3.886
2026-03-23,-921.0,explicit,1,6622.5,6627.0,target,970,4.5,4.136,3.886
2026-03-27,-554.0,explicit,1,6402.5,6396.5,stop,975,-6.0,-6.364,-6.864
2026-03-31,3917.0,explicit,-1,6564.25,6570.75,stop,970,-6.5,-6.864,-7.364
2026-04-02,2793.0,explicit,-1,6621.25,6627.25,stop,985,-6.0,-6.364,-6.864
2026-04-06,741.0,explicit,-1,6650.75,6646.25,target,975,4.5,4.136,3.886
2026-04-07,847.0,explicit,-1,6659.5,6665.5,stop,975,-6.0,-6.364,-6.864
2026-04-08,2262.0,explicit,-1,6823.75,6819.25,target,970,4.5,4.136,3.886
2026-04-09,555.0,explicit,-1,6859.0,6862.5,time,1000,-3.5,-3.864,-4.364
2026-04-10,-1397.0,explicit,1,6852.75,6857.25,target,975,4.5,4.136,3.886
2026-04-13,1927.0,explicit,-1,6922.0,6924.75,time,1000,-2.75,-3.114,-3.614
2026-04-15,1229.0,explicit,-1,7056.25,7058.25,time,1000,-2.0,-2.364,-2.864
2026-04-16,2806.0,explicit,-1,7075.75,7079.0,time,1000,-3.25,-3.614,-4.114
2026-04-21,1374.0,explicit,-1,7094.75,7123.25,stop,970,-28.5,-28.864,-29.364
2026-04-22,2134.0,explicit,-1,7170.5,7166.0,target,970,4.5,4.136,3.886
2026-04-23,-1701.0,explicit,1,7143.75,7137.75,stop,970,-6.0,-6.364,-6.864
2026-04-24,914.0,explicit,-1,7195.75,7191.25,target,985,4.5,4.136,3.886
2026-04-28,925.0,explicit,-1,7169.5,7175.5,stop,970,-6.0,-6.364,-6.864
2026-04-30,1907.0,explicit,-1,7241.25,7247.25,stop,975,-6.0,-6.364,-6.864
2026-05-04,-2027.0,explicit,1,7226.0,7225.75,time,1000,-0.25,-0.614,-1.1139999999999999
2026-05-05,-684.0,explicit,1,7289.25,7293.75,target,975,4.5,4.136,3.886
