mu,sigma,T,h_trail,h_static,G
0.0,1.0,4.0,1.5,0.36468907787221005,0.8553123475221616
0.0,1.0,4.0,2.0,0.973120400654691,0.6265700338633922
0.0,1.0,4.0,2.5,1.614255485691576,0.4195928900104392
0.0,1.0,4.0,3.0,2.231343449254055,0.2645626780459769
0.5,1.0,4.0,1.5,0.41325646493750795,0.6338659804825639
0.5,1.0,4.0,2.0,0.9733009120901107,0.3315812730588233
0.5,1.0,4.0,2.5,1.5709321495639899,0.158672326065728
0.5,1.0,4.0,3.0,2.1617708147100307,0.07257198873360182
1.0,1.0,9.0,1.5,0.1957127238087922,0.6760515297172491
1.0,1.0,9.0,2.0,0.6178816268151812,0.29052954865018976
1.0,1.0,9.0,2.5,1.1204992473116693,0.10626461530049788
1.0,1.0,9.0,3.0,1.6451100765285063,0.0371746236699909
