look,kind,kept,n_days,lift,p_shift,side,net,pf,maxdd,rf,worst,sharpe_d
"BASE (qty-normalized, common window)",base,,598,,,,15227,1.297,3817,3.99,-984,0.0949
P1 skip base entry after 11:00,PRIMARY,461.0,461,19.9,0.22909698996655517,pos,13846,1.319,4792,2.89,-984,0.0916
  P1-sens skip after 10:30,explor,430.0,430,21.0,0.19732441471571907,pos,13480,1.324,4782,2.82,-984,0.0902
  P1-sens skip after 11:30,explor,494.0,494,41.1,0.08193979933110368,pos,16114,1.353,4054,3.97,-984,0.1036
  P1-sens skip after 12:00,explor,510.0,510,21.5,0.24749163879598662,pos,14599,1.308,4054,3.6,-984,0.0931
  P1-sens skip after 13:00,explor,536.0,536,14.2,0.35618729096989965,pos,14438,1.295,4261,3.39,-984,0.0914
bprime keep (yday RTH range elevated),explor,140.0,140,10.9,0.6789297658862876,two,4738,1.36,2457,1.93,-855,0.0552
bprime drop (keep calm-history days),explor,383.0,383,-18.9,0.451505016722408,two,7149,1.222,3052,2.34,-984,0.0574
NotHot & gap>=P80 keep (else drop) [ledger calm-stratum],explor,45.0,45,1.8,0.45819397993311034,pos,1222,1.359,1260,0.97,-683,0.0327
keep narrow OR (ORR/ATR <= median),explor,299.0,299,1.0,0.9548494983277592,two,7763,1.291,3342,2.32,-708,0.0665
keep wide OR (ORR/ATR > median),explor,299.0,299,-1.0,0.9548494983277592,two,7464,1.303,2129,3.51,-984,0.0674
09:30-bar volume ToD-ratio > 1 keep (~existing knob @1.0x),explor,324.0,324,15.2,0.2508361204013378,pos,10500,1.358,2209,4.75,-984,0.0813
Hot-only,explor,160.0,160,44.3,0.07692307692307693,two,9262,1.607,1759,5.27,-984,0.0884
NotHot-only,explor,438.0,438,-44.3,0.07692307692307693,two,5965,1.166,3794,1.57,-717,0.0489
drop Mon,explor(DoW),407.0,407,20.1,0.3996655518394649,two,12973,1.359,4332,2.99,-984,0.0919
drop Tue,explor(DoW),598.0,598,,,two,15227,1.297,3817,3.99,-984,0.0949
drop Wed,explor(DoW),598.0,598,,,two,15227,1.297,3817,3.99,-984,0.0949
drop Thu,explor(DoW),388.0,388,6.1,0.8260869565217391,two,10706,1.348,1626,6.58,-909,0.0876
drop Fri,explor(DoW),401.0,401,-26.0,0.27759197324414714,two,6776,1.19,2674,2.53,-984,0.0522
RAISED-BAR: keep overnight-return >= 0,explor(dir),323.0,323,-20.9,0.3494983277591973,two,5126,1.186,3018,1.7,-909,0.0464
RAISED-BAR: keep overnight-return < 0,explor(dir),273.0,273,18.6,0.38461538461538464,two,9707,1.409,2223,4.37,-984,0.0832
RAISED-BAR: keep prev-day RTH up,explor(dir),303.0,303,-20.3,0.32274247491638797,two,4679,1.188,2522,1.85,-984,0.0447
RAISED-BAR: keep prev-day RTH down,explor(dir),293.0,293,18.0,0.3879598662207358,two,10154,1.385,2618,3.88,-855,0.0833
keep prev-day CLV >= median (closed high),explor,298.0,298,-12.6,0.5618729096989966,two,5706,1.245,3072,1.86,-984,0.0552
keep prev-day CLV < median (closed low),explor,298.0,298,10.3,0.6404682274247492,two,9127,1.327,2802,3.26,-855,0.0742
P2 Hot days x0.5 (descriptive),PRIMARY-sizing,438.0,598,,,,10596,1.243,3782,2.8,-717,0.0799
P3 wide-OR days x0.5 (descriptive),PRIMARY-sizing,283.0,598,,,,10550,1.281,2846,3.71,-571,0.0891
