time,structBias
1217800800,0
1218405600,0
1219010400,0
1219615200,0
1220220000,0
1220824800,0
1221429600,0
1222034400,0
1222639200,0
1223244000,0
1223848800,0
1224453600,0
1225058400,0
1225666800,0
1226271600,0
1226876400,0
1227481200,0
1228086000,0
1228690800,0
1229295600,-1
1229900400,-1
1230505200,-1
1231110000,-1
1231714800,-1
1232319600,-1
1232924400,-1
1233529200,-1
1234134000,-1
1234738800,-1
1235343600,-1
1235948400,-1
1236549600,-1
1237154400,-1
1237759200,-1
1238364000,-1
1238968800,-1
1239573600,1
1240178400,1
1240783200,1
1241388000,1
1241992800,1
1242597600,1
1243202400,1
1243807200,1
1244412000,1
1245016800,1
1245621600,1
1246226400,1
1246831200,-1
1247436000,1
1248040800,1
1248645600,1
1249250400,1
1249855200,1
1250460000,1
1251064800,1
1251669600,1
1252274400,1
1252879200,1
1253484000,1
1254088800,1
1254693600,1
1255298400,1
1255903200,1
1256508000,1
1257116400,1
1257721200,1
1258326000,1
1258930800,1
1259535600,1
1260140400,1
1260745200,1
1261350000,1
1261954800,1
1262559600,1
1263164400,1
1263769200,1
1264374000,1
1264978800,-1
1265583600,-1
1266188400,1
1266793200,1
1267398000,1
1268002800,1
1268604000,1
1269208800,1
1269813600,1
1270418400,1
1271023200,1
1271628000,1
1272232800,1
1272837600,-1
1273442400,-1
1274047200,-1
1274652000,-1
1275256800,-1
1275861600,-1
1276466400,-1
1277071200,-1
1277676000,-1
1278280800,-1
1278885600,-1
1279490400,1
1280095200,1
1280700000,1
1281304800,-1
1281909600,-1
1282514400,-1
1283119200,1
1283724000,1
1284328800,1
1284933600,1
1285538400,1
1286143200,1
1286748000,1
1287352800,1
1287957600,1
1288562400,1
1289170800,1
1289775600,1
1290380400,1
1290985200,1
1291590000,1
1292194800,1
1292799600,1
1293404400,1
1294009200,1
1294614000,1
1295218800,1
1295823600,1
1296428400,1
1297033200,1
1297638000,1
1298242800,1
1298847600,1
1299452400,1
1300053600,1
1300658400,1
1301263200,1
1301868000,1
1302472800,1
1303077600,1
1303682400,1
1304287200,1
1304892000,1
1305496800,1
1306101600,1
1306706400,-1
1307311200,-1
1307916000,-1
1308520800,-1
1309125600,1
1309730400,1
1310335200,1
1310940000,1
1311544800,-1
1312149600,-1
1312754400,-1
1313359200,-1
1313964000,-1
1314568800,-1
1315173600,-1
1315778400,-1
1316383200,-1
1316988000,-1
