q,idx_ret_pct,idx_src,idx_sign,n_trades,n_base,n_mh_add,n_add,n_mh,monster_present,any_add,any_mh,q_net
2022Q1,-6.86,panel_proxy,-1,7,6,0,1,0,False,True,False,1976.92
2022Q2,-23.08,panel_proxy,-1,9,8,0,1,0,False,True,False,-3277.49
2022Q3,-1.47,panel_proxy,-1,11,9,2,2,4,True,True,True,22090.51
2022Q4,1.12,panel_proxy,1,5,4,0,1,0,False,True,False,-1532.7
2023Q1,11.02,panel_proxy,1,14,12,0,2,0,False,True,False,5564.96
2023Q2,15.24,panel_proxy,1,14,10,2,4,4,True,True,True,35976.41
2023Q3,-6.03,panel_proxy,-1,11,10,0,1,0,False,True,False,15219.16
2023Q4,12.57,panel_proxy,1,20,16,1,4,2,True,True,True,14723.29
2024Q1,9.21,real_bar,1,10,8,1,2,2,True,True,True,38230.14
2024Q2,7.23,real_bar,1,8,7,0,1,0,False,True,False,68302.98
2024Q3,1.67,real_bar,1,13,11,1,2,2,True,True,True,56334.54
2024Q4,4.67,real_bar,1,12,10,2,2,4,True,True,True,47195.5
2025Q1,-8.88,real_bar,-1,9,8,0,1,1,False,True,True,-11778.41
2025Q2,18.43,real_bar,1,11,9,1,2,2,True,True,True,18210.58
2025Q3,8.49,real_bar,1,13,10,2,3,4,True,True,True,12106.26
2025Q4,2.9,real_bar,1,12,10,1,2,2,True,True,True,20666.3
2026Q1,-5.65,real_bar,-1,12,11,0,1,0,False,True,False,-632.04
2026Q2,27.29,real_bar,1,5,4,1,1,2,True,True,True,30321.5
