Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2020-01-06 12:00,Exit Long,8817,19,334314.5,731.5,0.22,1472.5,0.44,-209,-0.06,731.5,0.37,9
1,Entry long,2020-01-06 09:45,Long,8797.75,19,334314.5,731.5,0.22,1472.5,0.44,-209,-0.06,731.5,0.37,9
2,Exit long,2020-01-06 12:00,Exit Long Add,8817,194,3425264,-4268,-0.12,3298,0.10,-4268,-0.12,-3536.5,-1.77,3
2,Entry long,2020-01-06 11:15,Long Add,8828,194,3425264,-4268,-0.12,3298,0.10,-4268,-0.12,-3536.5,-1.77,3
3,Exit long,2020-01-13 15:30,Max Hold,9073,25,452900,750,0.17,962.5,0.21,-37.5,-0.01,-2786.5,-1.39,15
3,Entry long,2020-01-13 11:45,Long,9058,25,452900,750,0.17,962.5,0.21,-37.5,-0.01,-2786.5,-1.39,15
4,Exit long,2020-01-13 15:30,Max Hold,9073,257,4664935.5,-1413.5,-0.03,771,0.02,-5654,-0.12,-4200,-2.10,5
4,Entry long,2020-01-13 14:15,Long Add,9075.75,257,4664935.5,-1413.5,-0.03,771,0.02,-5654,-0.12,-4200,-2.10,5
5,Exit long,2020-01-21 10:15,Exit Long,9169.25,38,696369,494,0.07,1482,0.21,-285,-0.04,-3706,-1.85,3
5,Entry long,2020-01-21 09:30,Long,9162.75,38,696369,494,0.07,1482,0.21,-285,-0.04,-3706,-1.85,3
6,Exit long,2020-01-21 11:45,Exit Long,9190.25,28,514626,28,0.01,560,0.11,-56,-0.01,-3678,-1.84,2
6,Entry long,2020-01-21 11:15,Long,9189.75,28,514626,28,0.01,560,0.11,-56,-0.01,-3678,-1.84,2
7,Exit long,2020-02-11 10:45,Exit Long,9597.75,22,422257,44,0.01,561,0.13,-187,-0.04,-3634,-1.82,2
7,Entry long,2020-02-11 10:15,Long,9596.75,22,422257,44,0.01,561,0.13,-187,-0.04,-3634,-1.82,2
8,Exit long,2020-02-18 10:15,Exit Long,9613.5,21,404166,-399,-0.10,210,0.05,-409.5,-0.10,-4033,-2.02,2
8,Entry long,2020-02-18 09:45,Long,9623,21,404166,-399,-0.10,210,0.05,-409.5,-0.10,-4033,-2.02,2
9,Exit long,2020-03-09 12:15,Exit Long,8155.5,4,65564,-320,-0.49,358,0.55,-320,-0.49,-4353,-2.18,3
9,Entry long,2020-03-09 11:30,Long,8195.5,4,65564,-320,-0.49,358,0.55,-320,-0.49,-4353,-2.18,3
10,Exit long,2020-03-17 12:15,Exit Long,7449.75,2,29432,367,1.25,716,2.43,-373,-1.27,-3986,-1.99,5
10,Entry long,2020-03-17 11:00,Long,7358,2,29432,367,1.25,716,2.43,-373,-1.27,-3986,-1.99,5
11,Exit long,2020-03-31 10:45,Exit Long,7935,6,95499,-279,-0.29,441,0.46,-279,-0.29,-4265,-2.13,2
11,Entry long,2020-03-31 10:15,Long,7958.25,6,95499,-279,-0.29,441,0.46,-279,-0.29,-4265,-2.13,2
12,Exit long,2020-04-14 13:00,Exit Long,8637,9,155398.5,67.5,0.04,522,0.34,-76.5,-0.05,-4197.5,-2.10,3
12,Entry long,2020-04-14 12:15,Long,8633.25,9,155398.5,67.5,0.04,522,0.34,-76.5,-0.05,-4197.5,-2.10,3
13,Exit long,2020-05-11 10:30,Exit Long,9215.25,11,203065.5,-330,-0.16,258.5,0.13,-330,-0.16,-4527.5,-2.26,2
13,Entry long,2020-05-11 10:00,Long,9230.25,11,203065.5,-330,-0.16,258.5,0.13,-330,-0.16,-4527.5,-2.26,2
14,Exit long,2020-05-11 15:00,Max Hold,9324.75,11,203747.5,1397,0.69,1705,0.84,-214.5,-0.11,-3130.5,-1.57,15
14,Entry long,2020-05-11 11:15,Long,9261.25,11,203747.5,1397,0.69,1705,0.84,-214.5,-0.11,-3130.5,-1.57,15
15,Exit long,2020-05-11 15:00,Max Hold,9324.75,119,2212150.5,7140,0.32,10472,0.47,-654.5,-0.03,4009.5,2.00,8
15,Entry long,2020-05-11 13:00,Long Add,9294.75,119,2212150.5,7140,0.32,10472,0.47,-654.5,-0.03,4009.5,2.00,8
16,Exit long,2020-06-09 11:15,Exit Long,9944.75,14,278236,217,0.08,1043,0.37,-105,-0.04,4226.5,2.11,3
16,Entry long,2020-06-09 10:30,Long,9937,14,278236,217,0.08,1043,0.37,-105,-0.04,4226.5,2.11,3
17,Exit long,2020-06-09 14:00,Exit Long,9985.5,14,279426,168,0.06,714,0.26,-336,-0.12,4394.5,2.20,6
17,Entry long,2020-06-09 12:30,Long,9979.5,14,279426,168,0.06,714,0.26,-336,-0.12,4394.5,2.20,6
18,Exit long,2020-06-30 11:45,Exit Long,10065.75,13,261644.5,65,0.02,637,0.24,-123.5,-0.05,4459.5,2.23,4
18,Entry long,2020-06-30 10:45,Long,10063.25,13,261644.5,65,0.02,637,0.24,-123.5,-0.05,4459.5,2.23,4
19,Exit long,2020-07-06 11:45,Exit Long,10595.25,17,358734,1504.5,0.42,2150.5,0.60,-110.5,-0.03,5964,2.98,5
19,Entry long,2020-07-06 10:30,Long,10551,17,358734,1504.5,0.42,2150.5,0.60,-110.5,-0.03,5964,2.98,5
20,Exit long,2020-07-07 11:30,Exit Long,10665.25,12,256350,-384,-0.15,318,0.12,-384,-0.15,5580,2.79,2
