Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2020-01-06 12:00,Exit Long,8817,38,668629,1463,0.22,2945,0.44,-418,-0.06,1463,0.73,9
1,Entry long,2020-01-06 09:45,Long,8797.75,38,668629,1463,0.22,2945,0.44,-418,-0.06,1463,0.73,9
2,Exit long,2020-01-06 12:00,Exit Long Add,8817,388,6850528,-8536,-0.12,6596,0.10,-8536,-0.12,-7073,-3.54,3
2,Entry long,2020-01-06 11:15,Long Add,8828,388,6850528,-8536,-0.12,6596,0.10,-8536,-0.12,-7073,-3.54,3
3,Exit long,2020-01-13 15:30,Max Hold,9073,50,905800,1500,0.17,1925,0.21,-75,-0.01,-5573,-2.79,15
3,Entry long,2020-01-13 11:45,Long,9058,50,905800,1500,0.17,1925,0.21,-75,-0.01,-5573,-2.79,15
4,Exit long,2020-01-13 15:30,Max Hold,9073,506,9184659,-2783,-0.03,1518,0.02,-11132,-0.12,-8356,-4.18,5
4,Entry long,2020-01-13 14:15,Long Add,9075.75,506,9184659,-2783,-0.03,1518,0.02,-11132,-0.12,-8356,-4.18,5
5,Exit long,2020-01-21 10:15,Exit Long,9169.25,75,1374412.5,975,0.07,2925,0.21,-562.5,-0.04,-7381,-3.69,3
5,Entry long,2020-01-21 09:30,Long,9162.75,75,1374412.5,975,0.07,2925,0.21,-562.5,-0.04,-7381,-3.69,3
6,Exit long,2020-01-21 11:45,Exit Long,9190.25,56,1029252,56,0.01,1120,0.11,-112,-0.01,-7325,-3.66,2
6,Entry long,2020-01-21 11:15,Long,9189.75,56,1029252,56,0.01,1120,0.11,-112,-0.01,-7325,-3.66,2
7,Exit long,2020-02-11 10:45,Exit Long,9597.75,43,825320.5,86,0.01,1096.5,0.13,-365.5,-0.04,-7239,-3.62,2
7,Entry long,2020-02-11 10:15,Long,9596.75,43,825320.5,86,0.01,1096.5,0.13,-365.5,-0.04,-7239,-3.62,2
8,Exit long,2020-02-18 10:15,Exit Long,9613.5,41,789086,-779,-0.10,410,0.05,-799.5,-0.10,-8018,-4.01,2
8,Entry long,2020-02-18 09:45,Long,9623,41,789086,-779,-0.10,410,0.05,-799.5,-0.10,-8018,-4.01,2
9,Exit long,2020-03-09 12:15,Exit Long,8155.5,8,131128,-640,-0.49,716,0.55,-640,-0.49,-8658,-4.33,3
9,Entry long,2020-03-09 11:30,Long,8195.5,8,131128,-640,-0.49,716,0.55,-640,-0.49,-8658,-4.33,3
10,Exit long,2020-03-17 12:15,Exit Long,7449.75,5,73580,917.5,1.25,1790,2.43,-932.5,-1.27,-7740.5,-3.87,5
10,Entry long,2020-03-17 11:00,Long,7358,5,73580,917.5,1.25,1790,2.43,-932.5,-1.27,-7740.5,-3.87,5
11,Exit long,2020-03-31 10:45,Exit Long,7935,13,206914.5,-604.5,-0.29,955.5,0.46,-604.5,-0.29,-8345,-4.17,2
11,Entry long,2020-03-31 10:15,Long,7958.25,13,206914.5,-604.5,-0.29,955.5,0.46,-604.5,-0.29,-8345,-4.17,2
12,Exit long,2020-04-14 13:00,Exit Long,8637,18,310797,135,0.04,1044,0.34,-153,-0.05,-8210,-4.11,3
12,Entry long,2020-04-14 12:15,Long,8633.25,18,310797,135,0.04,1044,0.34,-153,-0.05,-8210,-4.11,3
13,Exit long,2020-05-11 10:30,Exit Long,9215.25,23,424591.5,-690,-0.16,540.5,0.13,-690,-0.16,-8900,-4.45,2
13,Entry long,2020-05-11 10:00,Long,9230.25,23,424591.5,-690,-0.16,540.5,0.13,-690,-0.16,-8900,-4.45,2
14,Exit long,2020-05-11 15:00,Max Hold,9324.75,23,426017.5,2921,0.69,3565,0.84,-448.5,-0.11,-5979,-2.99,15
14,Entry long,2020-05-11 11:15,Long,9261.25,23,426017.5,2921,0.69,3565,0.84,-448.5,-0.11,-5979,-2.99,15
15,Exit long,2020-05-11 15:00,Max Hold,9324.75,234,4349943,14040,0.32,20592,0.47,-1287,-0.03,8061,4.03,8
15,Entry long,2020-05-11 13:00,Long Add,9294.75,234,4349943,14040,0.32,20592,0.47,-1287,-0.03,8061,4.03,8
16,Exit long,2020-06-09 11:15,Exit Long,9944.75,29,576346,449.5,0.08,2160.5,0.37,-217.5,-0.04,8510.5,4.26,3
16,Entry long,2020-06-09 10:30,Long,9937,29,576346,449.5,0.08,2160.5,0.37,-217.5,-0.04,8510.5,4.26,3
17,Exit long,2020-06-09 14:00,Exit Long,9985.5,28,558852,336,0.06,1428,0.26,-672,-0.12,8846.5,4.42,6
17,Entry long,2020-06-09 12:30,Long,9979.5,28,558852,336,0.06,1428,0.26,-672,-0.12,8846.5,4.42,6
18,Exit long,2020-06-30 11:45,Exit Long,10065.75,27,543415.5,135,0.02,1323,0.24,-256.5,-0.05,8981.5,4.49,4
18,Entry long,2020-06-30 10:45,Long,10063.25,27,543415.5,135,0.02,1323,0.24,-256.5,-0.05,8981.5,4.49,4
19,Exit long,2020-07-06 11:45,Exit Long,10595.25,36,759672,3186,0.42,4554,0.60,-234,-0.03,12167.5,6.08,5
19,Entry long,2020-07-06 10:30,Long,10551,36,759672,3186,0.42,4554,0.60,-234,-0.03,12167.5,6.08,5
20,Exit long,2020-07-07 11:30,Exit Long,10665.25,25,534062.5,-800,-0.15,662.5,0.12,-800,-0.15,11367.5,5.68,2
20,Entry long,2020-07-07 11:00,Long,10681.25,25,534062.5,-800,-0.15,662.5,0.12,-800,-0.15,11367.5,5.68,2
21,Exit long,2020-07-13 10:45,Exit Long,10987.5,29,637956.5,-681.5,-0.11,884.5,0.14,-1406.5,-0.22,10686,5.34,2
21,Entry long,2020-07-13 10:15,Long,10999.25,29,637956.5,-681.5,-0.11,884.5,0.14,-1406.5,-0.22,10686,5.34,2
22,Exit long,2020-07-13 11:45,Exit Long,11031.25,25,549262.5,2300,0.42,3650,0.66,0,0.00,12986,6.49,4
22,Entry long,2020-07-13 10:45,Long,10985.25,25,549262.5,2300,0.42,3650,0.66,0,0.00,12986,6.49,4
23,Exit long,2020-07-20 13:45,Max Hold,10845.5,22,472032,5170,1.10,5951,1.26,-264,-0.06,18156,9.08,15
23,Entry long,2020-07-20 10:00,Long,10728,22,472032,5170,1.10,5951,1.26,-264,-0.06,18156,9.08,15
24,Exit long,2020-07-20 13:45,Max Hold,10845.5,225,4860787.5,19687.5,0.41,27675,0.57,-7087.5,-0.15,37843.5,18.92,9
