Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2020-01-14 13:30,Exit Long,28967,17,246202.5,-3.74,0.00,414.63,0.17,-52.87,-0.02,-3.74,0.00,9
1,Entry long,2020-01-14 11:15,Long,28965,17,246202.5,-3.74,0.00,414.63,0.17,-52.87,-0.02,-3.74,0.00,9
2,Exit long,2020-01-21 10:15,Exit Long,29235,17,248761,-284.24,-0.11,168.13,0.07,-273.87,-0.11,-287.98,-0.14,3
2,Entry long,2020-01-21 09:30,Long,29266,17,248761,-284.24,-0.11,168.13,0.07,-273.87,-0.11,-287.98,-0.14,3
3,Exit long,2020-03-06 10:45,Exit Long,25630,6,76875,7.68,0.01,422.34,0.55,-351.66,-0.46,-280.3,-0.14,2
3,Entry long,2020-03-06 10:15,Long,25625,6,76875,7.68,0.01,422.34,0.55,-351.66,-0.46,-280.3,-0.14,2
4,Exit long,2020-05-26 11:30,Exit Long,25020,17,213188.5,-539.24,-0.25,108.63,0.05,-681.87,-0.32,-819.54,-0.41,2
4,Entry long,2020-05-26 11:00,Long,25081,17,213188.5,-539.24,-0.25,108.63,0.05,-681.87,-0.32,-819.54,-0.41,2
5,Exit long,2020-06-05 12:00,Exit Long,27173,9,121923,344.52,0.28,1034.01,0.85,-54.99,-0.05,-475.02,-0.24,5
5,Entry long,2020-06-05 10:45,Long,27094,9,121923,344.52,0.28,1034.01,0.85,-54.99,-0.05,-475.02,-0.24,5
6,Exit long,2020-06-09 11:30,Exit Long,27292,11,150639.5,-546.92,-0.36,235.29,0.16,-540.21,-0.36,-1021.94,-0.51,3
6,Entry long,2020-06-09 10:45,Long,27389,11,150639.5,-546.92,-0.36,235.29,0.16,-540.21,-0.36,-1021.94,-0.51,3
7,Exit long,2020-07-10 11:45,Exit Long,25775,9,115978.5,-1.98,0.00,192.51,0.17,-374.49,-0.32,-1023.92,-0.51,5
7,Entry long,2020-07-10 10:30,Long,25773,9,115978.5,-1.98,0.00,192.51,0.17,-374.49,-0.32,-1023.92,-0.51,5
8,Exit long,2020-07-14 12:00,Exit Long,26198,9,117873,7.02,0.01,521.01,0.44,-356.49,-0.30,-1016.9,-0.51,6
8,Entry long,2020-07-14 10:30,Long,26194,9,117873,7.02,0.01,521.01,0.44,-356.49,-0.30,-1016.9,-0.51,6
9,Exit long,2020-08-04 12:00,Exit Long,26658,17,226448.5,123.76,0.05,525.13,0.23,-112.37,-0.05,-893.14,-0.45,5
9,Entry long,2020-08-04 10:45,Long,26641,17,226448.5,123.76,0.05,525.13,0.23,-112.37,-0.05,-893.14,-0.45,5
10,Exit long,2020-08-14 12:45,Exit Long,27846,17,236691,-20.74,-0.01,355.13,0.15,-180.37,-0.08,-913.88,-0.46,6
10,Entry long,2020-08-14 11:15,Long,27846,17,236691,-20.74,-0.01,355.13,0.15,-180.37,-0.08,-913.88,-0.46,6
11,Exit long,2020-08-21 15:30,Exit Long,27852,16,222072,724.48,0.33,1150.24,0.52,-489.76,-0.22,-262.6,-0.13,23
11,Entry long,2020-08-21 09:45,Long,27759,16,222072,724.48,0.33,1150.24,0.52,-489.76,-0.22,-262.6,-0.13,23
12,Exit long,2020-08-21 15:30,Exit Long Add,27852,120,1669800,1173.6,0.07,4366.8,0.26,-1213.2,-0.07,984.2,0.49,8
12,Entry long,2020-08-21 13:30,Long Add,27830,120,1669800,1173.6,0.07,4366.8,0.26,-1213.2,-0.07,984.2,0.49,8
13,Exit long,2020-09-25 11:30,Exit Long,26763,9,120424.5,-1.98,0.00,264.51,0.22,-257.49,-0.21,982.22,0.49,4
13,Entry long,2020-09-25 10:30,Long,26761,9,120424.5,-1.98,0.00,264.51,0.22,-257.49,-0.21,982.22,0.49,4
14,Exit long,2020-10-09 12:45,Exit Long,28468,17,242513.5,-556.24,-0.23,244.63,0.10,-545.87,-0.23,425.98,0.21,4
14,Entry long,2020-10-09 11:45,Long,28531,17,242513.5,-556.24,-0.23,244.63,0.10,-545.87,-0.23,425.98,0.21,4
15,Exit long,2020-10-16 10:45,Exit Long,28651,15,215400,-535.8,-0.25,88.35,0.04,-526.65,-0.24,-109.82,-0.05,2
15,Entry long,2020-10-16 10:15,Long,28720,15,215400,-535.8,-0.25,88.35,0.04,-526.65,-0.24,-109.82,-0.05,2
16,Exit long,2020-11-24 13:15,Exit Long,30029,17,255246.5,-20.74,-0.01,168.13,0.07,-205.87,-0.08,-130.56,-0.07,6
16,Entry long,2020-11-24 11:45,Long,30029,17,255246.5,-20.74,-0.01,168.13,0.07,-205.87,-0.08,-130.56,-0.07,6
17,Exit long,2020-12-08 14:30,Exit Long,30184,17,255884,659.26,0.26,1120.13,0.44,-61.37,-0.02,451.23,0.23,15
17,Entry long,2020-12-08 10:45,Long,30104,17,255884,659.26,0.26,1120.13,0.44,-61.37,-0.02,451.23,0.23,15
18,Exit long,2020-12-08 14:30,Exit Long Add,30184,127,1915604.5,924.56,0.05,4367.53,0.23,-585.47,-0.03,1453.26,0.73,9
