date,term,btc,ret_bp
2010-06-09,9-Year 11-Month,3.240000,6.4366632337797824
2010-07-08,10-Year,2.880000,0.0
2010-07-13,9-Year 10-Month,3.090000,-3.8520801232666546
2010-08-11,10-Year,3.040000,-3.7359900373601374
2010-09-02,9-Year 10-Month,2.800000,-1.244400199104101
2010-09-08,9-Year 11-Month,3.210000,3.7369207772797175
2010-10-13,9-Year 10-Month,2.990000,-8.621751447223103
2010-11-04,9-Year 8-Month,2.910000,-1.2220457045097888
2010-11-09,10-Year,2.800000,2.460024600245969
2010-12-08,9-Year 11-Month,2.920000,23.18691227618297
2011-01-12,9-Year 10-Month,3.300000,11.698947094760381
2011-01-20,10-Year,2.370000,-29.91675338189337
2011-02-09,10-Year,3.230000,19.80198019801982
2011-03-24,9-Year 10-Month,2.970000,0.0
2011-04-13,9-Year 10-Month,3.130000,3.9303026333037394
2011-05-11,10-Year,3.000000,17.90968402200388
2011-05-19,9-Year 8-Month,2.660000,2.5552574421872087
2011-06-08,9-Year 11-Month,3.230000,3.747657713928376
2011-07-13,9-Year 10-Month,3.170000,11.28809732848346
2011-07-21,10-Year,2.620000,0.0
2011-08-10,10-Year,3.220000,7.201152184348469
2011-09-22,9-Year 10-Month,2.610000,1.1889192723812947
2011-10-12,9-Year 10-Month,2.860000,-8.55955001222819
2011-11-09,10-Year,2.640000,-2.3929169657810334
2011-11-17,9-Year 8-Month,2.640000,0.0
2011-12-13,9-Year 11-Month,3.530000,14.312977099235624
2012-01-11,9-Year 10-Month,3.290000,-4.76303881876583
2012-01-19,10-Year,2.910000,-3.5876584549154877
2012-02-08,10-Year,3.050000,10.736013360372887
2012-03-22,9-Year 10-Month,2.810000,1.2128562765312267
2012-04-11,9-Year 10-Month,3.080000,0.0
2012-05-09,10-Year,2.900000,2.3493480559144686
2012-05-17,9-Year 8-Month,3.010000,-1.1694538650453001
2012-07-11,9-Year 10-Month,3.610000,0.0
2012-07-19,10-Year,2.620000,-9.287206872533593
2012-08-08,10-Year,2.490000,-14.035087719298511
2012-09-20,9-Year 10-Month,2.360000,-9.425070688030557
2012-10-10,9-Year 10-Month,3.260000,5.8699225170233404
2012-11-07,10-Year,2.590000,-3.5059016010285937
2012-11-21,9-Year 8-Month,2.520000,1.1716461628585861
2013-01-09,9-Year 10-Month,2.830000,-8.283043426813297
2013-01-24,10-Year,2.710000,2.3654642223536193
2013-02-13,10-Year,2.680000,-2.3820867079560326
2013-03-13,9-Year 11-Month,3.190000,10.68883610451321
2013-03-21,9-Year 10-Month,2.740000,3.568030447194115
2013-04-10,9-Year 10-Month,2.790000,4.715312978897934
2013-05-08,10-Year,2.700000,-3.528581510232609
2013-05-23,9-Year 8-Month,2.520000,3.5739814152968563
2013-07-10,9-Year 10-Month,2.570000,6.232859636001731
2013-07-18,10-Year,2.440000,-1.2321340561849414
2013-08-07,10-Year,2.450000,4.938881343374835
2013-09-11,9-Year 11-Month,2.860000,15.084852294153794
2013-10-09,9-Year 10-Month,2.580000,3.714710252600284
2013-11-13,10-Year,2.700000,-1.2370113805049154
2013-11-21,9-Year 8-Month,2.590000,-6.182762458266655
2013-12-11,9-Year 11-Month,2.610000,-3.720699491503998
2014-01-08,9-Year 10-Month,2.680000,-1.2695188523548229
2014-01-23,10-Year,2.310000,-1.2528188423954756
2014-02-12,10-Year,2.540000,-1.2481278082876468
2014-04-09,9-Year 10-Month,2.760000,-7.570022710068347
2014-05-07,10-Year,2.630000,3.754223501439835
2014-05-22,9-Year 8-Month,2.910000,-1.2436264146253873
2014-06-11,9-Year 11-Month,2.880000,3.7514067775412663
2014-07-09,9-Year 10-Month,2.570000,-5.016302984700571
2014-07-24,10-Year,2.490000,1.2499999999993072
2014-08-13,10-Year,2.830000,-2.478007681824268
2014-09-10,9-Year 11-Month,2.710000,-1.2504689258474588
2014-10-08,9-Year 10-Month,2.520000,-11.159330440173587
2014-11-12,10-Year,2.520000,0.0
2014-11-20,9-Year 8-Month,2.570000,9.887529353602709
2014-12-10,9-Year 11-Month,2.970000,4.910385465259903
2015-01-13,9-Year 10-Month,2.610000,-8.472524812394022
2015-01-22,10-Year,2.390000,2.418964683115199
2015-02-11,10-Year,2.620000,14.618102083079343
2015-04-08,9-Year 10-Month,2.620000,7.258649891119795
2015-05-13,10-Year,2.720000,11.063306699445885
2015-05-21,9-Year 8-Month,2.330000,4.8995590396860855
2015-07-08,9-Year 10-Month,2.720000,-2.456398919183922
2015-07-23,10-Year,2.310000,3.704161007531681
2015-08-12,10-Year,2.400000,-4.8744820862778315
2015-09-09,9-Year 11-Month,2.700000,-1.2251899044346537
2015-10-07,9-Year 10-Month,2.590000,1.2131505519841213
2015-11-10,10-Year,2.580000,1.2376237623756836
2015-11-19,9-Year 8-Month,2.380000,-2.4645717806526246
2015-12-09,9-Year 11-Month,2.640000,7.373724960058059
2016-01-13,9-Year 10-Month,2.770000,6.112469437653534
2016-01-21,10-Year,2.190000,-1.2149192078725335
2016-02-10,10-Year,2.560000,7.147111375818138
2016-03-09,9-Year 11-Month,2.490000,0.0
2016-04-13,9-Year 10-Month,2.750000,8.377213977979192
2016-05-11,10-Year,2.680000,4.772700155113441
2016-05-19,9-Year 8-Month,2.270000,6.026274557069389
2016-06-08,9-Year 11-Month,2.700000,2.3866348448686736
2016-07-12,9-Year 10-Month,2.330000,-9.427292010369959
2016-07-21,10-Year,2.390000,1.18245240628978
2016-08-10,10-Year,2.430000,3.5331527499704585
2016-09-12,9-Year 11-Month,2.350000,11.904761904761862
2016-09-22,9-Year 10-Month,2.590000,2.386065378190416
2016-10-12,9-Year 10-Month,2.530000,1.2043839576048043
2016-11-09,10-Year,2.220000,-19.4647201946474
2016-11-17,9-Year 8-Month,2.390000,-3.716551040634508
2016-12-12,9-Year 11-Month,2.390000,10.023806540533364
2017-01-11,9-Year 10-Month,2.580000,18.757033887708552
2017-01-19,10-Year,2.450000,1.260716086737279
2017-02-08,10-Year,2.290000,-16.181229773463144
2017-03-08,9-Year 11-Month,2.660000,6.320313487548912
2017-03-23,9-Year 10-Month,2.230000,6.2845651080944975
2017-04-11,9-Year 10-Month,2.480000,-1.2468827930178783
2017-05-10,10-Year,2.330000,-6.251562890722262
2017-05-18,9-Year 8-Month,2.560000,3.708740264556365
2017-07-12,9-Year 10-Month,2.450000,-6.220452848967328
2017-07-20,10-Year,1.980000,-6.189650903688504
2017-08-09,10-Year,2.230000,-2.472799208704801
2017-09-12,9-Year 11-Month,2.280000,2.4630541871917266
2017-09-21,9-Year 10-Month,2.320000,1.2428535918473926
2017-10-11,9-Year 10-Month,2.540000,3.7425149700598404
2017-11-08,10-Year,2.480000,2.494076568151371
2017-11-16,9-Year 8-Month,2.430000,0.0
2018-01-10,9-Year 10-Month,2.690000,7.632616715431695
2018-01-18,10-Year,2.690000,1.2756729174645542
2018-02-07,10-Year,2.340000,-6.447453255964408
2018-03-22,9-Year 10-Month,2.560000,-7.777057679844157
2018-04-11,9-Year 10-Month,2.460000,-3.8789759503488064
2018-05-09,10-Year,2.560000,3.9303026333037394
2018-05-17,9-Year 8-Month,2.420000,-1.3183915622938525
2018-07-11,9-Year 10-Month,2.570000,3.9021852237253185
2018-07-19,10-Year,2.220000,3.896609949343155
2018-08-08,10-Year,2.550000,1.3071895424832114
2018-09-12,9-Year 11-Month,2.580000,1.306165099268508
2018-09-20,9-Year 10-Month,2.570000,-1.316482359136062
2018-10-10,9-Year 10-Month,2.390000,-1.326963906581602
2018-11-06,10-Year,2.540000,1.324327903589051
2018-11-21,9-Year 8-Month,2.590000,-3.9344262295082366
2018-12-12,9-Year 11-Month,2.350000,-1.2993762993762648
