onset,trough,end,dur,depth_usd,depth_pct,legs_red,co_drawdown,pre_contaminated,calendar_rank
2020-01-13,2020-01-21,2020-01-31,15,4321,2.194,3,True,False,1.0
2020-02-24,2020-05-04,2020-07-17,105,15411,7.408,3,True,True,2.0
2020-07-21,2020-07-27,2020-08-03,10,1885,0.872,3,True,True,3.0
2020-08-06,2020-10-16,2020-11-23,78,10869,4.782,2,False,True,4.0
2021-01-12,2021-05-19,2021-10-15,199,13096,5.415,2,False,True,5.0
2021-10-21,2022-01-19,2022-03-07,98,20916,8.246,3,True,True,6.0
2022-03-09,2022-06-21,2022-07-04,84,10519,3.981,4,True,True,7.0
2022-07-25,2022-08-02,2022-08-09,12,3080,1.12,3,True,True,8.0
2022-08-23,2022-10-04,2022-10-11,36,6938,2.378,2,False,True,9.0
2022-10-25,2022-12-28,2023-01-10,56,12904,4.41,3,True,True,10.0
2023-02-09,2023-03-02,2023-03-03,17,6022,1.911,2,False,True,11.0
2023-04-03,2023-04-25,2023-05-02,22,7810,2.409,2,False,True,12.0
2023-05-05,2023-05-16,2023-06-09,26,8433,2.543,3,True,True,13.0
2023-07-04,2023-07-18,2023-07-20,13,1863,0.509,2,False,True,14.0
2023-08-01,2023-08-23,2023-08-28,20,5824,1.568,3,True,True,15.0
2023-09-18,2023-10-10,2023-10-12,19,5713,1.4,3,True,True,16.0
2023-11-23,2023-12-14,2023-12-15,17,4211,0.921,2,False,True,17.0
2024-01-15,2024-02-02,2024-02-06,17,2905,0.592,2,False,True,18.0
2024-02-12,2024-03-12,2024-03-18,26,5011,1.016,2,False,True,19.0
2024-03-21,2024-05-29,2024-06-14,62,14339,2.832,3,True,True,20.0
2024-06-18,2024-07-02,2024-07-02,11,2303,0.428,2,False,True,21.0
2024-07-11,2024-07-30,2024-08-06,19,2770,0.504,2,False,True,22.0
2024-08-30,2024-09-24,2024-10-01,23,8055,1.382,3,True,True,23.0
2024-11-01,2024-11-01,2024-11-18,12,2330,0.383,3,True,True,24.0
2024-11-20,2024-12-05,2024-12-16,19,3371,0.548,2,False,True,25.0
2024-12-26,2024-12-27,2025-01-16,16,1364,0.218,1,False,True,26.0
2025-02-04,2025-03-06,2025-03-18,31,7330,1.151,2,False,True,27.0
2025-03-20,2025-03-20,2025-04-02,10,1376,0.213,1,False,True,28.0
2025-04-07,2025-04-16,2025-04-18,10,2449,0.377,2,False,True,29.0
2025-04-22,2025-05-08,2025-05-12,15,6559,0.987,3,True,True,30.0
2025-07-21,2025-08-11,2025-08-11,16,2064,0.285,3,True,True,31.0
2025-12-01,2025-12-23,2025-12-23,17,3508,0.424,3,True,True,32.0
2026-03-24,2026-04-13,2026-04-13,15,4150,0.473,4,True,True,33.0
2026-05-07,2026-06-22,2026-06-23,34,6150,0.685,3,True,True,34.0
