onset,depth_usd,rv_at_peak,calendar_rank,legs_red,co_drawdown,pre_contaminated,rv_finite,severity_rank_worst1
2020-01-13,4321,,1.0,3,True,False,False,19
2020-02-24,15411,0.008291092731616281,2.0,3,True,True,True,2
2020-07-21,1885,0.00965076265442766,3.0,3,True,True,True,31
2020-08-06,10869,0.006973309895181703,4.0,2,False,True,True,6
2021-01-12,13096,0.006013641337601862,5.0,2,False,True,True,4
2021-10-21,20916,0.00880278152376583,6.0,3,True,True,True,1
2022-03-09,10519,0.014501364254415299,7.0,4,True,True,True,7
2022-07-25,3080,0.00947754097400141,8.0,3,True,True,True,24
2022-08-23,6938,0.008763626464039947,9.0,2,False,True,True,12
2022-10-25,12904,0.017734063299666484,10.0,3,True,True,True,5
2023-02-09,6022,0.008377473803814267,11.0,2,False,True,True,15
2023-04-03,7810,0.010928455901648058,12.0,2,False,True,True,10
2023-05-05,8433,0.007019841307828629,13.0,3,True,True,True,8
2023-07-04,1863,0.004920320097147881,14.0,2,False,True,True,32
2023-08-01,5824,0.00424146963455757,15.0,3,True,True,True,16
2023-09-18,5713,0.007027287417173479,16.0,3,True,True,True,17
2023-11-23,4211,0.007120098822563822,17.0,2,False,True,True,20
2024-01-15,2905,0.00547892638313245,18.0,2,False,True,True,25
2024-02-12,5011,0.0060987436146940945,19.0,2,False,True,True,18
2024-03-21,14339,0.00567266075912909,20.0,3,True,True,True,3
2024-06-18,2303,0.0051815820372234705,21.0,2,False,True,True,29
2024-07-11,2770,0.0038728827573940696,22.0,2,False,True,True,26
2024-08-30,8055,0.009410563669011034,23.0,3,True,True,True,9
2024-11-01,2330,0.006260567188520829,24.0,3,True,True,True,28
2024-11-20,3371,0.008500043508368109,25.0,2,False,True,True,23
2024-12-26,1364,0.008169073651362628,26.0,1,False,True,True,34
2025-02-04,7330,0.008424445870623916,27.0,2,False,True,True,11
2025-03-20,1376,0.010549244295047689,28.0,1,False,True,True,33
2025-04-07,2449,0.01912808046950723,29.0,2,False,True,True,27
2025-04-22,6559,0.03536588002582675,30.0,3,True,True,True,13
2025-07-21,2064,0.004406591212559722,31.0,3,True,True,True,30
2025-12-01,3508,0.009425999797628058,32.0,3,True,True,True,22
2026-03-24,4150,0.010660982096003123,33.0,4,True,True,True,21
2026-05-07,6150,0.007079167136164498,34.0,3,True,True,True,14
