date,pnl_usd,intraday_low
2022-01-11,490.72,-1162.0
2022-01-14,75.9,-1450.0
2022-01-28,20.04,-636.0
2022-02-08,1578.1799999999998,-3097.5
2022-02-22,-801.28,-1755.28
2022-03-15,21.44,-543.28
2022-03-18,-654.8399999999999,-1696.92
2022-03-22,256.76,-423.5
2022-04-19,-314.82000000000016,-1981.5
2022-05-27,38.839999999999996,-858.0
2022-05-31,12.72,-630.0
2022-06-07,-661.6,-1476.6
2022-06-21,-713.1199999999999,-1481.12
2022-07-05,8866.56,-4203.0
2022-07-08,35.9,-422.5
2022-07-19,7994.12,-1456.5
2022-07-29,-681.24,-1465.24
2022-08-02,10.08,-699.0
2022-08-12,7743.62,-792.5
2022-08-23,-688.92,-1387.92
2022-09-02,-641.6,-1296.6
2022-09-09,-722.56,-1562.56
2022-09-30,-714.1,-1544.1
2022-10-11,-609.1,-1366.6
2022-10-21,8.4,-965.0
2022-10-25,4.76,-325.5
2022-10-28,589.78,-1076.78
2022-11-08,-2320.3199999999997,-17200.32
2022-11-11,-664.92,-1828.92
2022-12-20,4.76,-623.0
2023-01-06,2919.12,-390.0
2023-01-10,-649.92,-2215.92
2023-01-13,-694.56,-1590.56
2023-01-17,847.62,-891.0
2023-01-20,1.62,-585.0
2023-01-27,2226.24,-1796.38
2023-01-31,1.44,-636.0
2023-02-03,-611.28,-1213.28
2023-02-07,-695.88,-1555.38
2023-03-03,-650.88,-1447.38
2023-03-31,-2381.32,-4814.32
2023-04-14,-889.38,-2176.38
2023-04-28,-2.88,-1372.5
2023-05-05,271.62,-747.0
2023-05-16,-2.88,-684.0
2023-05-26,2095.06,-688.5
2023-06-06,-614.88,-1748.88
2023-06-09,-7.38,-1087.38
2023-06-23,5.44,-596.0
2023-06-27,7540.62,-877.5
2023-06-30,217.62,-423.0
2023-07-14,28.62,-846.0
2023-07-18,222.12,-918.0
2023-07-25,-2.88,-630.0
2023-08-04,-674.24,-1731.24
2023-08-18,-691.74,-1664.74
2023-08-25,-2023.38,-4345.38
2023-08-29,-1664.3200000000002,-3654.0
2023-09-05,-656.74,-1545.74
