n,exp,pf,wr,profitR,maxddR,family,param,session,volfloor,k,exit,hurdle_R,req_exp,pass_hurdle
175,-0.19941955682879528,0.7079790538586499,0.3485714285714286,-34.898422445039174,43.20846107558061,donchian,12,ny0811,False,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
168,-0.25552021420905424,0.6596597335575322,0.2857142857142857,-42.927395987121116,49.49292511686297,donchian,12,ny0811,False,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
157,-0.19891586151195131,0.7480198947947694,0.2484076433121019,-31.229790257376358,42.11408279168926,donchian,12,ny0811,False,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
158,-0.21914674335630804,0.68872227238599,0.22151898734177214,-34.62518545029667,40.034105281341716,donchian,12,ny0811,False,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
154,-0.2318190393073458,0.7056954261260467,0.23376623376623376,-35.70013205333125,40.8329964531882,donchian,12,ny0811,False,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
159,-0.26247664065001586,0.6120263880525275,0.33962264150943394,-41.73378586335252,46.46225988056995,donchian,12,ny0811,False,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
152,-0.20907361200143776,0.7027058987578594,0.3157894736842105,-31.77918902421854,37.568896083246706,donchian,12,ny0811,False,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
146,-0.2119596168058123,0.7115380955666472,0.2808219178082192,-30.946104053648597,37.02313852377287,donchian,12,ny0811,False,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
150,-0.1969399862617615,0.6721317821894031,0.26,-29.540997939264226,34.82879716957564,donchian,12,ny0811,False,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
146,-0.2299899340638557,0.6714213087874052,0.2808219178082192,-33.578530373322934,38.244485576876414,donchian,12,ny0811,False,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
146,-0.17437461556513395,0.7145173865411539,0.3835616438356164,-25.458693872509556,29.894251961651765,donchian,12,ny0811,False,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
141,-0.17373186076472522,0.7275994474925802,0.3475177304964539,-24.496192367826254,36.48993117868963,donchian,12,ny0811,False,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
136,-0.22850806581133423,0.6519119136013712,0.33088235294117646,-31.077096950341456,32.98959434563471,donchian,12,ny0811,False,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
147,-0.16613898019487078,0.6705177634122819,0.2857142857142857,-24.422430088646003,28.252669472895082,donchian,12,ny0811,False,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
141,-0.20023116236200367,0.6681502687793045,0.3191489361702128,-28.232593893042516,33.18493894228764,donchian,12,ny0811,False,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
137,-0.13876328175115657,0.7482992056533142,0.39416058394160586,-19.01056959990845,26.74851120866062,donchian,12,ny0811,False,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
135,-0.16678532657554657,0.7103566331685744,0.37037037037037035,-22.516019087698787,28.87895766149198,donchian,12,ny0811,False,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
132,-0.17983620151332916,0.6897319039840727,0.36363636363636365,-23.73837859975945,27.154101406819613,donchian,12,ny0811,False,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
147,-0.14682328680389012,0.6616697415484187,0.2925170068027211,-21.583023160171848,24.44671373341298,donchian,12,ny0811,False,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
138,-0.17935516966237292,0.6636029509714643,0.3333333333333333,-24.751013413407463,28.475157442445727,donchian,12,ny0811,False,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
138,-0.2287660095965848,0.6735970528259351,0.34057971014492755,-31.569709324328702,39.04380249450437,donchian,12,ny0811,True,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
131,-0.24125336868779232,0.6771499270870439,0.29770992366412213,-31.604191298100794,36.64769312265126,donchian,12,ny0811,True,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
127,-0.24507075682859492,0.6912429474960299,0.2440944881889764,-31.123986117231553,38.698181511814475,donchian,12,ny0811,True,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
128,-0.2848999378162384,0.6111629472543958,0.2109375,-36.467192040478515,41.23922650857465,donchian,12,ny0811,True,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
125,-0.24381892832648058,0.6947161181786359,0.224,-30.47736604081007,38.09960495916979,donchian,12,ny0811,True,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
124,-0.24279562365650045,0.6381049405206813,0.3548387096774194,-30.106657333406055,33.412715145557414,donchian,12,ny0811,True,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
123,-0.23081612120949074,0.6714380221726239,0.3170731707317073,-28.39038290876736,32.50381852819505,donchian,12,ny0811,True,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
118,-0.2295253258835443,0.6859014863714822,0.2796610169491525,-27.083988454258225,30.974045803523204,donchian,12,ny0811,True,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
122,-0.25059204208734026,0.6001998049280756,0.23770491803278687,-30.57222913465551,35.0155367215898,donchian,12,ny0811,True,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
118,-0.2409286863565738,0.6646741899251605,0.2711864406779661,-28.429584990075707,32.84581962168303,donchian,12,ny0811,True,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
117,-0.2388567148255648,0.6256384659818607,0.358974358974359,-27.946235634591083,32.21937209073758,donchian,12,ny0811,True,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
114,-0.2162994860478883,0.6680037943203471,0.3333333333333333,-24.658141409459265,32.03132907506776,donchian,12,ny0811,True,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
111,-0.2692747054587618,0.598562286778815,0.3063063063063063,-29.889492305922563,32.08999767755335,donchian,12,ny0811,True,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
