n,exp,pf,wr,profitR,maxddR,fast,slow,session,volfloor,k,exit,req_exp
193,-0.01933256053578951,0.9677272472724645,0.43523316062176165,-3.731184183407375,14.768624083277865,9,50,ny0811,False,1.5,tp1.5,0.3889807928759191
181,-0.007193612390976274,0.9888474731437344,0.3867403314917127,-1.3020438427667056,15.73225404148965,9,50,ny0811,False,1.5,tp2.0,0.3889807928759191
170,-0.08507736133288231,0.8795047900462164,0.31176470588235294,-14.463151426589992,23.464923934098145,9,50,ny0811,False,1.5,tp3.0,0.3889807928759191
177,-0.08288722885989216,0.8642724339518939,0.3389830508474576,-14.671039508200913,23.705014726446514,9,50,ny0811,False,1.5,trail2.0,0.3889807928759191
167,-0.11204981024111517,0.832548836394983,0.281437125748503,-18.712318310266234,32.09716538500364,9,50,ny0811,False,1.5,trail3.0,0.3889807928759191
165,-0.033703093049357216,0.940292618009019,0.4303030303030303,-5.56101035314394,11.8487135877796,9,50,ny0811,False,2.0,tp1.5,0.2917355946569393
158,-0.009798234337064256,0.9831128676539796,0.3924050632911392,-1.5481210252561524,11.541487051559784,9,50,ny0811,False,2.0,tp2.0,0.2917355946569393
151,-0.10212335878934353,0.8352968732087,0.3509933774834437,-15.420627177190873,20.989104453742318,9,50,ny0811,False,2.0,tp3.0,0.2917355946569393
164,-0.04108223109822522,0.9132215600146478,0.38414634146341464,-6.737485900108936,13.104217169510578,9,50,ny0811,False,2.0,trail2.0,0.2917355946569393
153,-0.0871948333090543,0.8430903001208111,0.3333333333333333,-13.340809496285306,21.094703625323334,9,50,ny0811,False,2.0,trail3.0,0.2917355946569393
148,-0.034900638473271496,0.9329104263507055,0.41216216216216217,-5.165294494044182,16.958718236879637,9,50,ny0811,False,2.5,tp1.5,0.23338847572555144
141,-0.10766466370439452,0.8076241656402657,0.36879432624113473,-15.180717582319627,22.122468576601946,9,50,ny0811,False,2.5,tp2.0,0.23338847572555144
138,-0.13112564752778377,0.7648743707895831,0.36231884057971014,-18.09533935883416,24.41746287152405,9,50,ny0811,False,2.5,tp3.0,0.23338847572555144
159,-0.04560996019966774,0.8859870261629427,0.389937106918239,-7.251983671747171,12.699134090757038,9,50,ny0811,False,2.5,trail2.0,0.23338847572555144
143,-0.0896104696454984,0.8150823121837899,0.34265734265734266,-12.814297159306271,20.358301856753023,9,50,ny0811,False,2.5,trail3.0,0.23338847572555144
136,-0.030266925590202543,0.93402870596602,0.41911764705882354,-4.116301880267546,15.56036832271579,9,50,ny0811,False,3.0,tp1.5,0.19449039643795954
134,-0.08285617653051958,0.8273484006674005,0.39552238805970147,-11.102727655089623,17.188152757841003,9,50,ny0811,False,3.0,tp2.0,0.19449039643795954
131,-0.06729058881839876,0.8600306282045337,0.3969465648854962,-8.815067135210239,18.561358155856198,9,50,ny0811,False,3.0,tp3.0,0.19449039643795954
156,-0.031984581295084524,0.9044270692328151,0.40384615384615385,-4.989594682033186,10.034161126958956,9,50,ny0811,False,3.0,trail2.0,0.19449039643795954
140,-0.0672881228386144,0.8364280575221195,0.36428571428571427,-9.420337197406017,18.93175632596088,9,50,ny0811,False,3.0,trail3.0,0.19449039643795954
159,-0.08930018155778033,0.856582586386057,0.4088050314465409,-14.198728867687072,21.571039511599825,9,50,ny0811,True,1.5,tp1.5,0.3889807928759191
152,-0.05769673999947694,0.9124036609765889,0.3684210526315789,-8.769904479920495,21.485779838736164,9,50,ny0811,True,1.5,tp2.0,0.3889807928759191
