Trade #,Type,Date and time,Signal,Price USD,Size (qty),Net P&L USD,Net P&L %,Favorable excursion USD,Adverse excursion USD
1,Entry long,2020-01-06 09:30,Long,100,1,0,0,0,0
1,Exit long,2020-01-06 10:00,Exit,101,1,100,1,120,-40
2,Entry long,2020-01-06 10:15,Long,101,1,0,0,0,0
2,Exit long,2020-01-06 11:00,Exit,100.5,1,-50,-0.5,10,-70
3,Entry long,2020-01-07 09:30,Long,100,1,0,0,0,0
3,Exit long,2020-01-07 10:00,Exit,98,1,-200,-2,5,-250
4,Entry long,2020-01-08 09:30,Long,100,1,0,0,0,0
4,Exit long,2020-01-08 10:00,Exit,100.3,1,30,0.3,40,-20
5,Entry long,2020-01-08 10:30,Long,100,1,0,0,0,0
5,Exit long,2020-01-08 11:00,Exit,99.2,1,-80,-0.8,5,-90
6,Entry long,2020-01-09 09:30,Long,100,1,0,0,0,0
6,Exit long,2020-01-09 10:00,Exit,102,1,200,2,220,-15
7,Entry long,2020-01-10 09:30,Long,100,1,0,0,0,0
7,Exit long,2020-01-10 10:00,Exit,99,1,-100,-1,10,-130
8,Entry long,2020-01-13 09:30,Long,100,1,0,0,0,0
8,Exit long,2020-01-13 10:00,Exit,101,1,80,0.8,90,-25
9,Entry long,2020-01-14 09:30,Long,100,1,0,0,0,0
9,Exit long,2020-01-14 10:00,Exit,99.5,1,-40,-0.4,5,-55
10,Entry long,2020-01-15 09:30,Long,100,1,0,0,0,0
10,Exit long,2020-01-15 10:00,Exit,100.5,1,50,0.5,60,-10
11,Entry long,2020-01-16 09:30,Long,100,1,0,0,0,0
11,Exit long,2020-01-16 10:00,Exit,98.5,1,-150,-1.5,8,-180
12,Entry long,2020-01-17 09:30,Long,100,1,0,0,0,0
12,Exit long,2020-01-17 10:00,Exit,101.2,1,120,1.2,140,-30
